Date,Country,AreaCode,Area,TotalCases,Population
05/03/2020,England,E08000026,Coventry,1,371521
05/03/2020,England,E08000003,Manchester,4,552858
05/03/2020,England,E08000019,Sheffield,6,584853
05/03/2020,Wales,W11000029,Cardiff,1,366903
05/03/2020,Wales,W11000031,Swansea,1,246993
05/03/2020,Wales,W11000028,Newport,0,154676
05/03/2020,London,,London,73,8961989
06/03/2020,England,E06000023,Bristol,2,463377
06/03/2020,England,E08000026,Coventry,2,371521
06/03/2020,England,E08000012,Liverpool,4,498042
06/03/2020,Wales,W11000029,Cardiff,1,366903
06/03/2020,Wales,W11000031,Swansea,1,246993
06/03/2020,Wales,W11000028,Newport,0,154676
06/03/2020,London,,London,96,8961989
07/03/2020,England,E06000023,Bristol,3,463377
07/03/2020,England,E08000035,Leeds,5,793139
07/03/2020,England,E08000012,Liverpool,5,498042
07/03/2020,England,E08000019,Sheffield,9,584853
07/03/2020,Scotland,S08000031,Glasgow,NaN,633120
07/03/2020,Scotland,S08000024,Edinburgh,NaN,524930
07/03/2020,Wales,W11000029,Cardiff,1,366903
07/03/2020,Wales,W11000031,Swansea,2,246993
07/03/2020,Wales,W11000028,Newport,0,154676
07/03/2020,London,,London,110,8961989
08/03/2020,England,E08000025,Birmingham,4,1141816
08/03/2020,England,E08000026,Coventry,3,371521
08/03/2020,England,E06000038,Reading,1,161780
08/03/2020,England,E08000019,Sheffield,12,584853
08/03/2020,Scotland,S08000031,Glasgow,NaN,633120
08/03/2020,Scotland,S08000024,Edinburgh,NaN,524930
08/03/2020,Wales,W11000029,Cardiff,1,366903
08/03/2020,Wales,W11000031,Swansea,2,246993
08/03/2020,Wales,W11000028,Newport,0,154676
08/03/2020,London,,London,132,8961989
09/03/2020,England,E08000025,Birmingham,5,1141816
09/03/2020,England,E08000035,Leeds,8,793139
09/03/2020,England,E08000003,Manchester,6,552858
09/03/2020,England,E06000033,Southend-on-Sea,2,183125
09/03/2020,Scotland,S08000031,Glasgow,NaN,633120
09/03/2020,Scotland,S08000024,Edinburgh,5,524930
09/03/2020,Wales,W11000029,Cardiff,2,366903
09/03/2020,Wales,W11000031,Swansea,2,246993
09/03/2020,Wales,W11000028,Newport,0,154676
09/03/2020,London,,London,186,8961989
10/03/2020,England,E08000025,Birmingham,9,1141816
10/03/2020,England,E06000023,Bristol,4,463377
10/03/2020,England,E08000012,Liverpool,6,498042
10/03/2020,England,E08000003,Manchester,7,552858
10/03/2020,England,E06000038,Reading,2,161780
10/03/2020,England,E08000019,Sheffield,18,584853
10/03/2020,Scotland,S08000031,Glasgow,NaN,633120
10/03/2020,Scotland,S08000024,Edinburgh,7,524930
10/03/2020,Wales,W11000029,Cardiff,2,366903
10/03/2020,Wales,W11000031,Swansea,9,246993
10/03/2020,England,E06000026,Plymouth,1,262100
10/03/2020,Wales,W11000028,Newport,1,154676
10/03/2020,London,,London,277,8961989
11/03/2020,England,E08000025,Birmingham,15,1141816
11/03/2020,England,E08000026,Coventry,5,371521
11/03/2020,England,E08000035,Leeds,11,793139
11/03/2020,England,E06000016,Leicester,1,354224
11/03/2020,England,E08000003,Manchester,8,552858
11/03/2020,Scotland,S08000031,Glasgow,5,633120
11/03/2020,Scotland,S08000024,Edinburgh,8,524930
11/03/2020,Wales,W11000029,Cardiff,3,366903
11/03/2020,Wales,W11000031,Swansea,13,246993
11/03/2020,Wales,W11000028,Newport,6,154676
11/03/2020,London,,London,460,8961989
12/03/2020,England,E08000025,Birmingham,22,1141816
12/03/2020,England,E06000023,Bristol,5,463377
12/03/2020,England,E08000026,Coventry,7,371521
12/03/2020,England,E08000035,Leeds,12,793139
12/03/2020,England,E06000016,Leicester,2,354224
12/03/2020,England,E08000012,Liverpool,9,498042
12/03/2020,England,E06000038,Reading,3,161780
12/03/2020,England,E08000019,Sheffield,20,584853
12/03/2020,England,E06000033,Southend-on-Sea,3,183125
12/03/2020,Scotland,S08000031,Glasgow,10,633120
12/03/2020,Scotland,S08000024,Edinburgh,11,524930
12/03/2020,Wales,W11000029,Cardiff,4,366903
12/03/2020,Wales,W11000031,Swansea,24,246993
12/03/2020,Wales,W11000028,Newport,13,154676
12/03/2020,London,,London,625,8961989
13/03/2020,England,E08000025,Birmingham,36,1141816
