,City,Date,no2,o3,pm10,pm25,humidity,pressure,temperature,TotalCases,Population
643,Edinburgh,08/05/2020,4.6,26.9,8.0,17.0,72.7,1016.0,13.6,2274.0,524930.0
644,Glasgow,08/05/2020,4.6,23.6,8.0,17.0,73.5,1017.0,13.5,3333.0,633120.0
645,Leeds,08/05/2020,3.0,29.7,10.0,21.0,18.3,1188.9,16.6,1642.0,793139.0
646,Leicester,08/05/2020,7.2,28.2,15.0,50.0,76.0,1016.7,15.1,755.0,354224.0
648,London,08/05/2020,13.9,31.6,20.0,57.0,53.6,1017.7,18.2,26049.0,8961989.0
649,Manchester,08/05/2020,6.4,24.0,20.0,53.0,72.2,1017.6,14.8,1325.0,552858.0
650,Newport,08/05/2020,6.5,28.9,13.0,47.0,77.2,1015.1,14.8,2330.0,154676.0
654,Reading,08/05/2020,7.7,38.6,21.0,50.0,52.0,1017.2,17.8,541.0,161780.0
655,Sheffield,08/05/2020,5.4,27.2,12.0,39.0,63.5,1015.7,17.5,2384.0,584853.0
656,Southend-on-Sea,08/05/2020,6.3,25.0,22.0,62.0,55.5,1017.5,19.1,346.0,183125.0
657,Swansea,08/05/2020,6.4,24.4,26.0,55.0,77.7,1018.2,15.9,1702.0,246993.0
668,London,09/02/2020,3.8,26.2,12.0,25.0,65.0,1006.8,10.0,0.0,8961989.0
679,Birmingham,09/03/2020,4.8,25.8,9.0,21.0,80.5,1008.0,6.3,5.0,1141816.0
681,Cardiff,09/03/2020,6.1,26.9,15.0,21.0,86.3,1011.4,7.7,2.0,366903.0
683,Edinburgh,09/03/2020,6.0,28.5,6.0,13.0,86.0,998.8,6.2,5.0,524930.0
685,Leeds,09/03/2020,9.7,21.9,11.0,25.0,83.6,1005.3,5.9,8.0,793139.0
688,London,09/03/2020,11.7,17.9,12.0,25.0,82.3,1011.1,8.7,186.0,8961989.0
689,Manchester,09/03/2020,7.4,16.6,14.0,35.0,88.8,1004.7,6.7,6.0,552858.0
690,Newport,09/03/2020,3.7,30.9,12.0,25.0,86.5,1011.1,7.7,0.0,154676.0
696,Southend-on-Sea,09/03/2020,3.9,26.6,9.0,22.0,82.3,1010.6,7.5,2.0,183125.0
697,Swansea,09/03/2020,5.5,28.1,22.0,38.0,86.7,1009.3,8.3,2.0,246993.0
698,Belfast,09/04/2020,11.0,16.7,18.0,38.0,87.0,1025.0,10.5,482.0,340220.0
699,Birmingham,09/04/2020,6.1,26.9,30.0,68.0,70.5,1024.9,12.7,1765.0,1141816.0
700,Bristol,09/04/2020,11.9,24.1,36.0,78.0,68.5,1023.6,15.2,306.0,463377.0
701,Cardiff,09/04/2020,7.8,24.4,31.0,74.0,68.5,1022.9,15.4,1304.0,366903.0
702,Coventry,09/04/2020,4.9,32.1,29.0,67.0,72.3,1024.0,12.9,387.0,371521.0
703,Edinburgh,09/04/2020,4.2,26.6,11.0,25.0,85.5,1026.8,7.4,747.0,524930.0
704,Glasgow,09/04/2020,6.0,21.3,12.0,32.0,88.0,1028.0,8.0,1251.0,633120.0
705,Leeds,09/04/2020,4.6,26.8,13.0,30.0,77.8,1026.0,9.7,588.0,793139.0
706,Leicester,09/04/2020,4.2,25.4,23.0,60.0,75.5,1025.1,10.0,351.0,354224.0
707,Liverpool,09/04/2020,7.5,23.7,26.0,63.0,67.0,1023.1,13.0,864.0,498042.0
708,London,09/04/2020,19.1,20.5,46.0,93.0,66.0,1024.5,13.3,17693.0,8961989.0
710,Manchester,09/04/2020,8.7,20.5,19.0,46.0,71.6,1025.2,12.5,645.0,552858.0
711,Newport,09/04/2020,8.3,28.9,29.0,80.0,72.0,1020.7,14.2,1455.0,154676.0
713,Plymouth,09/04/2020,8.3,39.0,31.0,83.0,60.0,1022.8,15.3,129.0,262100.0
715,Reading,09/04/2020,12.5,32.5,52.0,97.0,55.7,1023.3,14.3,183.0,161780.0
716,Sheffield,09/04/2020,8.0,20.7,19.0,54.0,80.1,1021.2,10.1,1249.0,584853.0
717,Southend-on-Sea,09/04/2020,10.7,19.4,54.0,144.0,64.0,1025.2,15.4,207.0,183125.0
718,Swansea,09/04/2020,5.1,31.7,32.0,68.0,70.7,1023.7,15.2,741.0,246993.0
719,Belfast,09/05/2020,8.7,14.3,14.0,42.0,76.0,1014.0,14.0,1237.0,340220.0
720,Birmingham,09/05/2020,6.5,27.1,16.0,53.0,67.0,1013.3,17.7,2969.0,1141816.0
721,Bristol,09/05/2020,7.4,26.7,19.0,50.0,70.3,1012.8,17.7,672.0,463377.0
722,Cardiff,09/05/2020,5.5,24.8,17.0,50.0,69.5,1012.4,18.2,2421.0,366903.0
723,Coventry,09/05/2020,5.0,37.0,17.0,52.0,71.6,1012.6,17.2,763.0,371521.0
724,Edinburgh,09/05/2020,4.6,24.4,6.0,13.0,75.3,1013.5,14.3,2324.0,524930.0
725,Glasgow,09/05/2020,4.2,22.0,8.0,17.0,74.0,1015.9,14.5,3367.0,633120.0
726,Leeds,09/05/2020,4.4,39.7,15.0,30.0,20.0,1185.4,16.4,1657.0,793139.0
727,Leicester,09/05/2020,5.2,32.0,16.0,54.0,73.2,1012.7,15.8,765.0,354224.0
728,Liverpool,09/05/2020,5.8,23.6,17.0,42.0,63.3,1011.7,14.5,1507.0,498042.0
729,London,09/05/2020,13.5,36.4,30.0,72.0,50.5,1012.7,17.7,26109.0,8961989.0
731,Manchester,09/05/2020,6.0,24.9,17.0,24.0,58.7,1013.5,18.0,1336.0,552858.0
732,Newport,09/05/2020,5.5,28.9,14.0,45.0,76.0,1009.8,16.5,2340.0,154676.0
736,Reading,09/05/2020,6.7,39.5,28.0,63.0,47.8,1012.2,18.0,543.0,161780.0
737,Sheffield,09/05/2020,7.0,33.1,11.0,35.0,65.9,1010.1,17.5,2406.0,584853.0
738,Southend-on-Sea,09/05/2020,7.0,36.0,42.0,108.0,54.6,1013.6,18.5,348.0,183125.0
739,Swansea,09/05/2020,6.0,24.4,21.0,55.0,71.5,1012.9,18.7,1714.0,246993.0
761,Birmingham,10/03/2020,4.2,24.8,2.0,4.0,86.6,1001.1,11.4,9.0,1141816.0
762,Bristol,10/03/2020,6.0,25.6,7.0,13.0,95.0,1004.9,10.5,4.0,463377.0
763,Cardiff,10/03/2020,5.2,27.3,6.0,9.0,93.0,1005.0,10.0,2.0,366903.0
765,Edinburgh,10/03/2020,5.5,29.0,9.0,21.0,85.7,989.1,7.5,7.0,524930.0
769,Liverpool,10/03/2020,2.8,25.9,3.0,13.0,65.8,996.2,11.3,6.0,498042.0
770,London,10/03/2020,8.2,16.8,6.0,15.0,84.8,1004.0,13.0,277.0,8961989.0
771,Manchester,10/03/2020,7.6,16.2,10.0,14.0,88.6,998.0,10.5,7.0,552858.0
772,Newport,10/03/2020,2.3,27.3,3.0,7.0,91.0,1005.0,10.0,1.0,154676.0
774,Plymouth,10/03/2020,3.3,22.7,10.0,24.0,98.0,1010.3,10.5,1.0,262100.0
777,Sheffield,10/03/2020,4.4,26.8,2.0,10.0,90.5,997.0,10.6,18.0,584853.0
779,Swansea,10/03/2020,4.6,27.3,12.0,30.0,93.0,1006.6,9.4,9.0,246993.0
780,Belfast,10/04/2020,11.9,13.5,24.0,63.0,81.5,1022.0,12.5,514.0,340220.0
781,Birmingham,10/04/2020,7.7,33.2,27.0,69.0,64.6,1024.2,14.7,1824.0,1141816.0
782,Bristol,10/04/2020,8.7,27.5,35.0,82.0,64.3,1023.4,15.5,324.0,463377.0
783,Cardiff,10/04/2020,6.9,31.7,31.0,74.0,65.0,1023.0,15.1,1368.0,366903.0
784,Coventry,10/04/2020,4.7,33.0,25.0,66.0,62.0,1023.9,15.1,402.0,371521.0
785,Edinburgh,10/04/2020,7.8,18.9,18.0,50.0,89.7,1023.2,8.8,799.0,524930.0
786,Glasgow,10/04/2020,9.6,14.7,23.0,60.0,87.0,1025.0,11.5,1314.0,633120.0
787,Leeds,10/04/2020,8.4,23.7,32.0,80.0,71.1,1023.8,12.8,635.0,793139.0
788,Leicester,10/04/2020,3.6,29.3,22.0,67.0,65.5,1024.4,13.4,371.0,354224.0
789,Liverpool,10/04/2020,4.7,30.2,28.0,73.0,65.1,1021.6,14.5,898.0,498042.0
790,London,10/04/2020,15.6,17.8,38.0,88.0,70.8,1024.5,13.5,18266.0,8961989.0
792,Manchester,10/04/2020,8.3,28.9,31.0,76.0,62.6,1023.8,16.6,681.0,552858.0
793,Newport,10/04/2020,8.7,33.3,31.0,85.0,70.0,1020.5,14.0,1508.0,154676.0
795,Plymouth,10/04/2020,7.8,42.2,35.0,95.0,56.3,1021.6,16.1,142.0,262100.0
797,Reading,10/04/2020,11.9,27.2,39.0,74.0,60.7,1024.3,12.5,197.0,161780.0
798,Sheffield,10/04/2020,7.0,27.1,29.0,73.0,65.2,1020.3,14.8,1306.0,584853.0
799,Southend-on-Sea,10/04/2020,9.5,19.3,33.0,82.0,65.5,1025.1,15.9,217.0,183125.0
800,Swansea,10/04/2020,4.2,47.2,37.0,85.0,58.2,1022.5,16.8,806.0,246993.0
801,Belfast,10/05/2020,2.8,25.9,9.0,17.0,64.0,1018.5,9.0,1243.0,340220.0
802,Birmingham,10/05/2020,2.0,28.4,12.0,26.0,78.0,1012.0,10.2,2987.0,1141816.0
803,Bristol,10/05/2020,2.8,24.0,17.0,42.0,78.7,1010.4,12.7,673.0,463377.0
804,Cardiff,10/05/2020,2.8,28.1,13.0,21.0,76.0,1010.0,13.2,2435.0,366903.0
805,Coventry,10/05/2020,1.7,29.6,12.0,26.0,80.0,1011.6,10.0,768.0,371521.0
806,Edinburgh,10/05/2020,2.3,27.3,8.0,13.0,66.4,1021.1,5.6,2359.0,524930.0
807,Glasgow,10/05/2020,1.9,24.8,5.0,9.0,61.4,1022.5,7.0,3449.0,633120.0
808,Leeds,10/05/2020,1.2,31.3,11.0,17.0,31.2,1187.3,8.7,1668.0,793139.0
809,Leicester,10/05/2020,8.2,25.2,11.0,25.0,73.2,1011.6,8.1,775.0,354224.0
810,Liverpool,10/05/2020,1.7,29.5,14.0,17.0,64.8,1013.0,10.5,1510.0,498042.0
811,London,10/05/2020,4.9,29.4,24.0,52.0,68.5,1008.8,12.6,26145.0,8961989.0
812,Manchester,10/05/2020,2.8,27.0,13.0,24.0,69.0,1014.3,9.7,1351.0,552858.0
813,Newport,10/05/2020,3.2,28.5,12.0,30.0,79.0,1007.1,12.7,2345.0,154676.0
815,Plymouth,10/05/2020,2.8,28.1,16.0,56.0,67.6,1007.5,13.9,337.0,262100.0
817,Reading,10/05/2020,6.3,26.5,21.0,34.0,61.6,1008.4,12.6,546.0,161780.0
818,Sheffield,10/05/2020,3.5,28.0,11.0,24.0,74.5,1012.5,7.8,2419.0,584853.0
819,Southend-on-Sea,10/05/2020,3.3,32.0,28.0,73.0,76.0,1009.5,12.0,349.0,183125.0
820,Swansea,10/05/2020,2.8,26.9,16.0,34.0,68.2,1009.3,14.3,1735.0,246993.0
842,Birmingham,11/03/2020,3.8,28.7,10.0,23.0,80.0,1007.2,8.8,15.0,1141816.0
844,Cardiff,11/03/2020,5.1,29.3,11.0,17.0,89.6,1009.2,8.0,3.0,366903.0
845,Coventry,11/03/2020,3.2,30.1,8.0,18.0,79.2,1007.2,9.0,5.0,371521.0
846,Edinburgh,11/03/2020,5.5,30.9,8.0,17.0,81.5,995.0,5.0,8.0,524930.0
847,Glasgow,11/03/2020,6.5,26.9,10.0,21.0,84.5,996.0,5.0,5.0,633120.0
848,Leeds,11/03/2020,8.1,24.5,8.0,19.0,78.0,1002.5,7.7,11.0,793139.0
849,Leicester,11/03/2020,8.1,21.9,11.0,20.0,80.0,1006.1,7.9,1.0,354224.0
851,London,11/03/2020,9.4,22.3,9.0,18.0,78.3,1009.0,11.0,460.0,8961989.0
852,Manchester,11/03/2020,9.2,17.3,13.0,26.0,80.5,1004.2,8.3,8.0,552858.0
853,Newport,11/03/2020,4.0,33.3,12.0,21.0,89.8,1009.3,7.7,6.0,154676.0
860,Swansea,11/03/2020,6.1,29.7,20.0,42.0,95.0,1005.7,9.0,13.0,246993.0
862,Birmingham,11/04/2020,6.1,33.3,27.0,70.0,65.0,1022.4,16.4,1852.0,1141816.0
863,Bristol,11/04/2020,10.6,30.0,30.0,78.0,62.0,1022.0,15.5,350.0,463377.0
864,Cardiff,11/04/2020,7.4,29.5,33.0,85.0,58.6,1020.9,18.5,1420.0,366903.0
865,Coventry,11/04/2020,4.6,42.0,26.0,68.0,60.0,1021.7,16.9,417.0,371521.0
866,Edinburgh,11/04/2020,3.7,28.9,6.0,13.0,76.7,1018.2,12.2,856.0,524930.0
867,Glasgow,11/04/2020,3.7,26.4,5.0,9.0,80.0,1020.0,11.3,1387.0,633120.0
868,Leeds,11/04/2020,5.5,29.7,19.0,61.0,64.5,1019.6,15.6,670.0,793139.0
869,Leicester,11/04/2020,5.2,30.6,27.0,69.0,66.0,1021.4,15.2,388.0,354224.0
870,Liverpool,11/04/2020,5.3,28.9,25.0,72.0,65.0,1020.0,13.2,938.0,498042.0
871,London,11/04/2020,18.5,15.9,30.0,69.0,58.5,1022.0,16.6,18758.0,8961989.0
873,Manchester,11/04/2020,6.4,26.9,30.0,71.0,71.2,1021.4,14.6,723.0,552858.0
874,Newport,11/04/2020,8.7,30.9,31.0,82.0,67.5,1019.1,15.5,1548.0,154676.0
876,Plymouth,11/04/2020,11.1,33.3,36.0,91.0,63.2,1021.3,15.0,143.0,262100.0
878,Reading,11/04/2020,10.0,26.2,41.0,89.0,58.0,1021.7,16.8,206.0,161780.0
879,Sheffield,11/04/2020,5.4,34.2,22.0,62.0,63.8,1016.1,15.7,1358.0,584853.0
880,Southend-on-Sea,11/04/2020,8.6,23.0,23.0,63.0,54.0,1022.5,18.2,221.0,183125.0
881,Swansea,11/04/2020,7.4,37.8,47.0,107.0,73.5,1022.4,13.7,837.0,246993.0
882,Belfast,11/05/2020,4.2,26.4,10.0,13.0,56.0,1028.0,7.0,1248.0,340220.0
883,Birmingham,11/05/2020,2.5,25.8,10.0,19.0,66.0,1022.4,6.1,3010.0,1141816.0
884,Bristol,11/05/2020,3.7,25.9,16.0,25.0,59.3,1020.9,7.9,681.0,463377.0
885,Cardiff,11/05/2020,2.8,26.0,12.0,17.0,63.5,1020.7,7.0,2452.0,366903.0
886,Coventry,11/05/2020,2.1,29.1,10.0,19.0,62.5,1020.9,6.5,769.0,371521.0
887,Edinburgh,11/05/2020,4.2,29.3,6.0,13.0,52.6,1026.0,6.9,2380.0,524930.0
888,Glasgow,11/05/2020,3.2,28.5,6.0,13.0,49.0,1028.5,7.1,3479.0,633120.0
889,Leeds,11/05/2020,5.4,27.7,11.0,17.0,24.6,1195.6,6.2,1677.0,793139.0
890,Leicester,11/05/2020,11.7,22.3,9.0,20.0,73.7,1021.9,5.4,784.0,354224.0
891,Liverpool,11/05/2020,3.4,29.8,11.0,13.0,60.0,1022.4,7.5,1514.0,498042.0
892,London,11/05/2020,3.6,22.5,12.0,21.0,56.0,1018.6,8.1,26213.0,8961989.0
893,Manchester,11/05/2020,4.6,24.9,12.0,19.0,61.1,1024.0,6.6,1367.0,552858.0
894,Newport,11/05/2020,3.8,28.5,11.0,21.0,65.0,1018.6,6.3,2355.0,154676.0
896,Plymouth,11/05/2020,2.9,28.3,12.0,24.0,55.0,1020.0,7.9,339.0,262100.0
898,Reading,11/05/2020,4.5,24.2,15.0,9.0,47.6,1017.9,8.4,547.0,161780.0
899,Sheffield,11/05/2020,4.2,25.6,10.0,19.0,66.9,1018.6,5.6,2437.0,584853.0
900,Southend-on-Sea,11/05/2020,0.9,24.0,11.0,19.0,54.0,1019.1,8.8,351.0,183125.0
901,Swansea,11/05/2020,2.3,28.9,12.0,17.0,54.7,1022.4,7.6,1747.0,246993.0
923,Birmingham,12/03/2020,3.4,27.5,10.0,21.0,67.0,1006.4,5.1,22.0,1141816.0
924,Bristol,12/03/2020,11.0,28.1,20.0,38.0,75.2,1010.0,6.5,5.0,463377.0
925,Cardiff,12/03/2020,5.1,28.3,17.0,25.0,79.4,1009.9,6.1,4.0,366903.0
926,Coventry,12/03/2020,3.2,28.5,9.0,18.0,73.8,1006.7,5.5,7.0,371521.0
927,Edinburgh,12/03/2020,4.6,28.1,4.0,9.0,88.5,992.4,3.3,11.0,524930.0
928,Glasgow,12/03/2020,7.8,23.2,6.0,13.0,87.0,997.8,4.1,10.0,633120.0
929,Leeds,12/03/2020,5.8,27.4,10.0,23.0,70.4,1000.2,5.5,12.0,793139.0
930,Leicester,12/03/2020,6.2,24.4,9.0,21.0,75.0,1005.3,5.0,2.0,354224.0
931,Liverpool,12/03/2020,1.4,30.2,9.0,17.0,67.2,1000.6,6.2,9.0,498042.0
932,London,12/03/2020,9.0,23.1,14.0,26.0,61.9,1010.4,8.5,625.0,8961989.0
934,Newport,12/03/2020,3.6,31.7,17.0,30.0,80.3,1009.9,5.9,13.0,154676.0
938,Reading,12/03/2020,4.5,27.4,14.0,13.0,66.5,1010.3,6.6,3.0,161780.0
939,Sheffield,12/03/2020,3.7,28.7,9.0,20.0,74.0,1002.1,4.3,20.0,584853.0
940,Southend-on-Sea,12/03/2020,2.4,29.0,9.0,21.0,63.6,1009.7,7.2,3.0,183125.0
941,Swansea,12/03/2020,2.8,29.9,23.0,42.0,74.0,1011.4,7.3,24.0,246993.0
943,Birmingham,12/04/2020,4.0,29.1,16.0,45.0,75.5,1014.6,12.7,1898.0,1141816.0
944,Bristol,12/04/2020,5.1,29.5,25.0,68.0,68.7,1013.9,15.6,364.0,463377.0
945,Cardiff,12/04/2020,4.6,29.7,26.0,78.0,65.1,1011.7,16.3,1476.0,366903.0
946,Coventry,12/04/2020,3.0,29.5,17.0,53.0,70.0,1013.9,12.7,438.0,371521.0
947,Edinburgh,12/04/2020,2.8,32.5,12.0,26.0,75.0,1016.1,9.0,915.0,524930.0
948,Glasgow,12/04/2020,2.8,28.9,11.0,25.0,72.5,1018.0,9.0,1449.0,633120.0
949,Leeds,12/04/2020,2.8,26.1,14.0,52.0,77.6,1014.5,9.2,708.0,793139.0
950,Leicester,12/04/2020,5.9,26.6,14.0,52.0,73.0,1014.2,11.5,410.0,354224.0
951,Liverpool,12/04/2020,6.8,18.9,21.0,65.0,67.2,1013.2,11.0,973.0,498042.0
952,London,12/04/2020,10.0,30.7,25.0,61.0,53.0,1013.7,17.6,19172.0,8961989.0
954,Manchester,12/04/2020,6.0,21.9,20.0,58.0,80.6,1014.7,10.4,760.0,552858.0
955,Newport,12/04/2020,6.4,24.8,22.0,68.0,71.3,1010.9,15.0,1573.0,154676.0
957,Plymouth,12/04/2020,7.6,31.2,37.0,101.0,70.4,1012.5,13.9,150.0,262100.0
959,Reading,12/04/2020,6.6,29.6,35.0,68.0,55.8,1013.5,16.7,231.0,161780.0
960,Sheffield,12/04/2020,5.4,25.6,13.0,44.0,75.0,1012.8,11.5,1392.0,584853.0
961,Southend-on-Sea,12/04/2020,4.7,33.4,23.0,65.0,51.8,1014.6,19.7,229.0,183125.0
962,Swansea,12/04/2020,4.6,31.7,39.0,95.0,79.0,1014.1,13.8,895.0,246993.0
963,Belfast,12/05/2020,4.2,28.5,11.0,16.0,72.5,1021.5,8.0,1252.0,340220.0
964,Birmingham,12/05/2020,7.0,28.4,11.0,22.0,59.7,1020.3,8.7,3033.0,1141816.0
965,Bristol,12/05/2020,9.2,27.3,14.0,30.0,60.0,1021.3,10.4,682.0,463377.0
966,Cardiff,12/05/2020,6.0,24.8,11.0,21.0,64.5,1020.5,9.7,2467.0,366903.0
967,Coventry,12/05/2020,4.2,29.6,9.0,22.0,64.5,1020.0,10.6,775.0,371521.0
968,Edinburgh,12/05/2020,3.2,27.9,6.0,13.0,73.5,1018.7,6.1,2397.0,524930.0
969,Glasgow,12/05/2020,3.7,29.7,8.0,13.0,74.0,1021.2,7.0,3510.0,633120.0
970,Leeds,12/05/2020,6.3,29.6,11.0,21.0,22.7,1189.9,9.5,1693.0,793139.0
971,Leicester,12/05/2020,7.8,24.0,11.0,26.0,68.5,1019.5,7.0,789.0,354224.0
972,Liverpool,12/05/2020,3.0,31.7,10.0,17.0,66.5,1019.3,9.5,1521.0,498042.0
973,London,12/05/2020,9.2,23.1,11.0,26.0,55.0,1020.4,11.1,26288.0,8961989.0
975,Manchester,12/05/2020,8.7,24.4,14.0,27.0,75.4,1020.3,8.2,1383.0,552858.0
976,Newport,12/05/2020,4.6,27.7,10.0,25.0,72.5,1018.7,8.1,2362.0,154676.0
978,Plymouth,12/05/2020,3.5,32.0,10.0,25.0,58.5,1021.8,9.8,341.0,262100.0
980,Reading,12/05/2020,5.0,27.9,10.0,9.0,52.4,1019.5,11.1,551.0,161780.0
981,Sheffield,12/05/2020,5.1,28.8,10.0,21.0,70.2,1016.2,8.1,2447.0,584853.0
982,Southend-on-Sea,12/05/2020,2.8,27.7,9.0,21.0,50.6,1020.0,11.1,353.0,183125.0
983,Swansea,12/05/2020,3.7,28.9,11.0,30.0,64.5,1022.0,10.4,1753.0,246993.0
1005,Birmingham,13/03/2020,9.9,22.0,9.0,20.0,84.5,1016.0,5.6,36.0,1141816.0
1006,Bristol,13/03/2020,10.7,27.1,20.0,34.0,74.8,1017.1,7.3,8.0,463377.0
1007,Cardiff,13/03/2020,8.3,25.6,19.0,25.0,82.8,1016.5,7.0,4.0,366903.0
1009,Edinburgh,13/03/2020,6.4,29.5,16.0,30.0,78.6,1015.6,3.8,19.0,524930.0
1010,Glasgow,13/03/2020,16.0,22.4,15.0,26.0,76.5,1017.5,4.4,20.0,633120.0
1012,Leicester,13/03/2020,8.4,20.9,7.0,18.0,80.7,1016.2,5.0,3.0,354224.0
1013,Liverpool,13/03/2020,6.2,26.4,10.0,21.0,67.1,1012.1,6.7,11.0,498042.0
1014,London,13/03/2020,13.9,18.7,16.0,31.0,60.0,1018.3,9.0,761.0,8961989.0
1016,Manchester,13/03/2020,11.9,18.0,13.0,26.0,79.0,1015.4,6.9,15.0,552858.0
1017,Newport,13/03/2020,5.3,30.5,16.0,30.0,83.0,1017.0,6.6,25.0,154676.0
1019,Plymouth,13/03/2020,7.0,25.4,14.0,25.0,88.1,1020.0,7.6,3.0,262100.0
1022,Sheffield,13/03/2020,8.4,26.2,8.0,18.0,81.0,1016.1,5.6,24.0,584853.0
1024,Swansea,13/03/2020,6.1,27.3,23.0,38.0,81.5,1018.2,7.2,28.0,246993.0
1026,Birmingham,13/04/2020,1.9,31.9,14.0,33.0,69.5,1028.4,6.6,1933.0,1141816.0
1027,Bristol,13/04/2020,1.4,30.5,18.0,34.0,67.3,1026.5,8.7,380.0,463377.0
1028,Cardiff,13/04/2020,1.9,30.9,15.0,30.0,70.2,1020.7,8.5,1534.0,366903.0
1029,Coventry,13/04/2020,1.5,33.7,13.0,31.0,67.8,1027.2,7.7,456.0,371521.0
1030,Edinburgh,13/04/2020,3.7,34.3,14.0,30.0,58.0,1031.0,5.0,932.0,524930.0
1031,Glasgow,13/04/2020,4.2,30.5,15.0,32.0,56.7,1033.0,5.0,1486.0,633120.0
1032,Leeds,13/04/2020,2.0,35.1,13.0,29.0,58.7,1028.4,6.1,736.0,793139.0
1033,Leicester,13/04/2020,3.2,31.3,13.0,30.0,67.5,1028.4,5.4,419.0,354224.0
1034,Liverpool,13/04/2020,1.9,33.8,15.0,30.0,62.4,1026.9,7.5,1009.0,498042.0
1035,London,13/04/2020,3.7,29.7,15.0,33.0,60.2,1025.9,8.8,19737.0,8961989.0
1037,Manchester,13/04/2020,3.2,29.8,16.0,34.0,61.0,1029.2,7.1,800.0,552858.0
1038,Newport,13/04/2020,3.4,32.5,14.0,34.0,69.0,1023.8,9.0,1605.0,154676.0
1040,Plymouth,13/04/2020,2.4,29.8,16.0,38.0,62.8,1023.1,11.9,162.0,262100.0
1042,Reading,13/04/2020,4.8,28.3,18.0,21.0,56.8,1025.5,9.7,258.0,161780.0
1043,Sheffield,13/04/2020,3.8,32.1,16.0,35.0,60.6,1023.4,5.8,1463.0,584853.0
1044,Southend-on-Sea,13/04/2020,1.1,32.3,16.0,34.0,59.0,1026.8,8.4,239.0,183125.0
1045,Swansea,13/04/2020,1.4,30.9,18.0,34.0,61.7,1026.1,10.2,946.0,246993.0
1046,Belfast,13/05/2020,4.2,26.9,9.0,13.0,56.0,1022.0,6.5,1258.0,340220.0
1047,Birmingham,13/05/2020,3.0,26.7,9.0,19.0,63.0,1018.4,6.8,3054.0,1141816.0
1049,Cardiff,13/05/2020,4.6,26.7,10.0,17.0,71.0,1017.0,8.2,2479.0,366903.0
1050,Coventry,13/05/2020,2.9,30.4,9.0,18.0,53.5,1017.6,9.8,778.0,371521.0
1051,Edinburgh,13/05/2020,4.6,25.0,6.0,12.0,58.5,1021.6,6.1,2428.0,524930.0
1052,Glasgow,13/05/2020,4.8,24.4,5.0,13.0,49.1,1023.0,7.0,3579.0,633120.0
1053,Leeds,13/05/2020,4.4,27.4,8.0,13.0,12.0,1190.9,7.2,1710.0,793139.0
1054,Leicester,13/05/2020,8.4,23.0,7.0,16.0,66.7,1018.4,5.6,796.0,354224.0
1055,Liverpool,13/05/2020,3.5,29.4,8.0,12.0,56.4,1018.0,9.0,1531.0,498042.0
1056,London,13/05/2020,5.3,24.3,11.0,25.0,59.0,1017.0,9.7,26373.0,8961989.0
1058,Manchester,13/05/2020,5.7,24.0,9.0,15.0,61.3,1019.6,7.4,1399.0,552858.0
1059,Newport,13/05/2020,6.4,27.3,10.0,21.0,71.0,1015.2,7.3,2376.0,154676.0
1061,Plymouth,13/05/2020,3.3,31.0,8.0,22.0,58.4,1016.5,10.5,342.0,262100.0
1063,Reading,13/05/2020,6.4,25.8,13.0,21.0,54.6,1016.1,10.2,556.0,161780.0
1064,Sheffield,13/05/2020,5.3,25.7,8.0,16.0,62.7,1017.0,6.7,2459.0,584853.0
1065,Southend-on-Sea,13/05/2020,2.6,26.6,10.0,20.0,63.1,1017.7,9.5,355.0,183125.0
1066,Swansea,13/05/2020,2.8,30.1,10.0,17.0,62.7,1018.3,9.8,1763.0,246993.0
1088,Birmingham,14/03/2020,5.1,24.0,7.0,20.0,90.7,1010.9,8.3,43.0,1141816.0
1089,Bristol,14/03/2020,7.8,24.0,10.0,21.0,92.0,1011.9,9.4,10.0,463377.0
1090,Cardiff,14/03/2020,6.5,26.0,10.0,17.0,93.6,1011.4,8.3,9.0,366903.0
1092,Edinburgh,14/03/2020,3.7,28.1,8.0,17.0,83.3,1003.6,6.9,25.0,524930.0
1093,Glasgow,14/03/2020,7.4,24.3,8.0,21.0,85.6,1004.7,7.9,31.0,633120.0
1096,Liverpool,14/03/2020,4.2,24.9,7.0,19.0,66.5,1006.5,10.0,13.0,498042.0
1097,London,14/03/2020,9.3,21.9,12.0,25.0,83.0,1013.0,10.0,909.0,8961989.0
1099,Newport,14/03/2020,4.6,27.7,8.0,17.0,93.8,1011.4,8.3,37.0,154676.0
1103,Reading,14/03/2020,4.4,26.7,10.0,13.0,84.7,1012.5,9.4,6.0,161780.0
1104,Sheffield,14/03/2020,7.6,22.4,7.0,24.0,87.1,1009.2,8.8,30.0,584853.0
1105,Southend-on-Sea,14/03/2020,3.6,26.6,8.0,24.0,83.5,1013.7,9.4,4.0,183125.0
1106,Swansea,14/03/2020,8.3,26.4,22.0,42.0,95.5,1011.7,9.3,28.0,246993.0
1108,Birmingham,14/04/2020,5.6,29.8,15.0,36.0,63.7,1029.0,6.5,2003.0,1141816.0
1109,Bristol,14/04/2020,6.4,28.6,15.0,38.0,65.0,1028.9,7.7,397.0,463377.0
1110,Cardiff,14/04/2020,4.2,31.1,16.0,30.0,67.3,1028.6,7.2,1612.0,366903.0
1111,Coventry,14/04/2020,3.2,33.1,13.0,29.0,68.6,1028.4,5.8,468.0,371521.0
