No,No1,City,Date,no2,o3,pm10,pm25,humidity,pressure,temperature,TotalCases,Population,daily_growth_rt_percent,daily_growth_abs_num,daily_growth_rt_by_popu_percent
1166,959,Reading,12/04/2020,6.6,29.6,35,68,55.8,1013.5,16.7,231,161780,112.14,25.00,69.31
1167,1042,Reading,13/04/2020,4.8,28.3,18,21,56.8,1025.5,9.7,258,161780,111.69,27.00,69.04
1168,1124,Reading,14/04/2020,7.1,29.5,17,21,50,1027.6,8.2,294,161780,113.95,36.00,70.44
1169,1206,Reading,15/04/2020,8.7,26.6,25,46,52.5,1021.3,10.6,318,161780,108.16,24.00,66.86
1170,1288,Reading,16/04/2020,13.6,22.1,46,102,54,1014.5,14,346,161780,108.81,28.00,67.25
1171,1371,Reading,17/04/2020,8,23.1,22,42,72.6,1015.2,11.1,365,161780,105.49,19.00,65.21
1172,1454,Reading,18/04/2020,6.1,20.6,13,55,81.2,1016.7,9.5,370,161780,101.37,5.00,62.66
1173,1952,Reading,24/04/2020,7.5,36.2,25,46,51.1,1015.1,15.3,448,161780,121.08,78.00,74.84
1174,2035,Reading,25/04/2020,8.4,27.7,22,38,61,1014.3,12.4,457,161780,102.01,9.00,63.05
1175,2117,Reading,26/04/2020,4.4,29.7,16,38,55.2,1011.6,13.8,460,161780,100.66,3.00,62.22
1176,2200,Reading,27/04/2020,6.9,27,26,53,65,1006.6,13.3,473,161780,102.83,13.00,63.56
1177,2282,Reading,28/04/2020,8.4,21.2,10,13,92,1002.9,8.7,486,161780,102.75,13.00,63.51
1178,2364,Reading,29/04/2020,3.4,24.1,10,9,80.2,999.1,10.6,499,161780,102.67,13.00,63.47
1179,2426,Reading,30/04/2020,3.5,24.4,10,13,81,993.4,9.5,504,161780,101.00,5.00,62.43
1180,78,Reading,01/05/2020,3.7,26.6,10,9,75,996.7,9.8,509,161780,100.99,5.00,62.43
1181,160,Reading,02/05/2020,3,30.2,9,9,62,1009.7,11,512,161780,100.59,3.00,62.18
1182,241,Reading,03/05/2020,5,24,13,17,71.4,1014.4,12.7,520,161780,101.56,8.00,62.78
1183,324,Reading,04/05/2020,7.4,31.5,17,25,56.3,1018.1,12.8,526,161780,101.15,6.00,62.53
1184,407,Reading,05/05/2020,7,29.8,16,17,52.8,1019.2,10.9,530,161780,100.76,4.00,62.28
1185,490,Reading,06/05/2020,8.7,29.8,20,25,53.2,1023.8,12.6,537,161780,101.32,7.00,62.63
1186,573,Reading,07/05/2020,6.5,36.3,22,53,51.4,1021.5,15.8,539,161780,100.37,2.00,62.04
1187,654,Reading,08/05/2020,7.7,38.6,21,50,52,1017.2,17.8,541,161780,100.37,2.00,62.04
1188,736,Reading,09/05/2020,6.7,39.5,28,63,47.8,1012.2,18,543,161780,100.37,2.00,62.04
1189,817,Reading,10/05/2020,6.3,26.5,21,34,61.6,1008.4,12.6,546,161780,100.55,3.00,62.15
1190,898,Reading,11/05/2020,4.5,24.2,15,9,47.6,1017.9,8.4,547,161780,100.18,1.00,61.93
1191,980,Reading,12/05/2020,5,27.9,10,9,52.4,1019.5,11.1,551,161780,100.73,4.00,62.26
1192,1063,Reading,13/05/2020,6.4,25.8,13,21,54.6,1016.1,10.2,556,161780,100.91,5.00,62.37
1193,1145,Reading,14/05/2020,6.3,24.9,11,9,46,1021.4,10,561,161780,100.90,5.00,62.37
1194,1227,Reading,15/05/2020,5.4,27.4,14,13,57,1023,12.3,564,161780,100.53,3.00,62.14
1195,1309,Reading,16/05/2020,4.4,30.6,10,13,56,1023.7,13.3,566,161780,100.35,2.00,62.03
1196,1392,Reading,17/05/2020,3.3,27.3,11,13,58.8,1023.2,13.7,567,161780,100.18,1.00,61.92
1197,1475,Reading,18/05/2020,3.3,30.8,12,9,58.2,1023.2,15.8,569,161780,100.35,2.00,62.03
1198,1558,Reading,19/05/2020,2.9,25.8,8,9,58.8,1022.7,18.2,574,161780,100.88,5.00,62.36
1199,1641,Reading,20/05/2020,3.3,20.8,8,9,51.1,1020.8,18.5,576,161780,100.35,2.00,62.03
1200,1724,Reading,21/05/2020,3.6,37.8,11,9,47.3,1018.9,19.5,578,161780,100.35,2.00,62.03
1201,1807,Reading,22/05/2020,2.7,29.2,23,21,50.1,1014.6,17.8,580,161780,100.35,2.00,62.03
1202,1890,Reading,23/05/2020,2.1,27.5,21,17,57.2,1020.8,13.6,581,161780,100.17,1.00,61.92
1203,1973,Reading,24/05/2020,2.2,27.1,20,17,61.6,1029.8,16.3,582,161780,100.17,1.00,61.92
1204,2056,Reading,25/05/2020,3.8,27.1,15,13,49.6,1033.8,18.1,584,161780,100.34,2.00,62.02
1205,2138,Reading,26/05/2020,3.1,24.7,15,17,55.6,1034.9,20.2,585,161780,100.17,1.00,61.92
1206,2302,Reading,28/05/2020,6.5,25.4,16,13,45.2,1033.2,16.7,586,161780,100.17,1.00,61.92
1207,2447,Reading,30/05/2020,5.7,27.8,21,21,39.5,1023.1,19.8,586,161780,100.00,0.00,61.81
1208,2323,Sheffield,29/02/2020,4.6,30.6,5,13,87.2,977,4.9,1,584853,0.00,0.00,0.00
1209,37,Sheffield,01/03/2020,3.5,30.5,10,21,75.1,982.1,4,2,584853,200.00,1.00,34.20
1210,283,Sheffield,04/03/2020,18.2,13.7,19,50,80.7,1004.7,4.2,4,584853,200.00,2.00,34.20
1211,366,Sheffield,05/03/2020,15.9,7.7,20,61,88.4,998.2,1.9,6,584853,150.00,2.00,25.65
1212,532,Sheffield,07/03/2020,6.4,24.4,12,33,82.6,1009.3,8.8,9,584853,150.00,3.00,25.65
1213,614,Sheffield,08/03/2020,3.9,29.9,6,16,89.1,999.4,8,12,584853,133.33,3.00,22.80
1214,777,Sheffield,10/03/2020,4.4,26.8,2,10,90.5,997,10.6,18,584853,150.00,6.00,25.65
1215,939,Sheffield,12/03/2020,3.7,28.7,9,20,74,1002.1,4.3,20,584853,111.11,2.00,19.00
1216,1022,Sheffield,13/03/2020,8.4,26.2,8,18,81,1016.1,5.6,24,584853,120.00,4.00,20.52
1217,1104,Sheffield,14/03/2020,7.6,22.4,7,24,87.1,1009.2,8.8,30,584853,125.00,6.00,21.37
1218,1186,Sheffield,15/03/2020,4.5,29.4,7,19,85.9,1002,7.3,36,584853,120.00,6.00,20.52
1219,1268,Sheffield,16/03/2020,6.3,26.4,9,21,74,1019.4,7,50,584853,138.89,14.00,23.75
1220,1351,Sheffield,17/03/2020,5.1,24.6,7,15,84,1020.7,8.3,63,584853,126.00,13.00,21.54
1221,1434,Sheffield,18/03/2020,8.8,24,5,13,81.7,1018.3,6.6,81,584853,128.57,18.00,21.98
1222,1517,Sheffield,19/03/2020,16.3,18.2,14,35,72.5,1022.4,5.5,107,584853,132.10,26.00,22.59
1223,1600,Sheffield,20/03/2020,9.8,22.9,14,30,79.9,1025.2,4.8,132,584853,123.36,25.00,21.09
1224,1683,Sheffield,21/03/2020,8.7,26.4,14,28,76,1024.5,3.8,169,584853,128.03,37.00,21.89
1225,1766,Sheffield,22/03/2020,8.2,24.8,17,46,76.6,1022,3.8,212,584853,125.44,43.00,21.45
1226,1849,Sheffield,23/03/2020,11.5,16.7,20,53,70,1020.7,5.2,273,584853,128.77,61.00,22.02
1227,1932,Sheffield,24/03/2020,10.5,19.9,32,73,71.5,1017.7,10,332,584853,121.61,59.00,20.79
1228,2015,Sheffield,25/03/2020,10.3,23.7,27,65,51.8,1017.4,9.1,380,584853,114.46,48.00,19.57
1229,2098,Sheffield,26/03/2020,13.9,23.8,36,83,60,1019.3,6.2,427,584853,112.37,47.00,19.21
1230,2180,Sheffield,27/03/2020,9.7,35.1,41,97,77.6,1022.7,4.2,454,584853,106.32,27.00,18.18
1231,2262,Sheffield,28/03/2020,4.5,32.1,12,23,76,1030.1,5.1,519,584853,114.32,65.00,19.55
1232,2344,Sheffield,29/03/2020,3.3,32.5,11,24,66.1,1035.4,3.4,581,584853,111.95,62.00,19.14
1233,2407,Sheffield,30/03/2020,5.1,31.6,10,23,72.2,1033.4,4.3,656,584853,112.91,75.00,19.31
1234,2470,Sheffield,31/03/2020,8,27,11,25,79.3,1027.7,5.6,766,584853,116.77,110.00,19.97
1235,58,Sheffield,01/04/2020,5.8,29.7,10,30,75.3,1018.6,6.6,829,584853,108.22,63.00,18.50
1236,140,Sheffield,02/04/2020,4,30.1,9,26,76.4,1010,7.4,882,584853,106.39,53.00,18.19
1237,222,Sheffield,03/04/2020,5.7,29.3,14,33,73.2,1010,7.3,925,584853,104.88,43.00,17.93
1238,304,Sheffield,04/04/2020,5.7,23.1,10,32,73,1011.7,8.7,967,584853,104.54,42.00,17.87
1239,387,Sheffield,05/04/2020,4.9,35,15,42,49.7,1007.5,14.6,1033,584853,106.83,66.00,18.27
1240,470,Sheffield,06/04/2020,4.2,29.5,11,25,65,1010,12.8,1097,584853,106.20,64.00,18.16
1241,553,Sheffield,07/04/2020,7,25.1,15,34,62.3,1023,11.3,1146,584853,104.47,49.00,17.86
1242,635,Sheffield,08/04/2020,7.6,30.5,15,40,57.6,1020.2,15.1,1196,584853,104.36,50.00,17.84
1243,716,Sheffield,09/04/2020,8,20.7,19,54,80.1,1021.2,10.1,1249,584853,104.43,53.00,17.86
1244,798,Sheffield,10/04/2020,7,27.1,29,73,65.2,1020.3,14.8,1306,584853,104.56,57.00,17.88
1245,879,Sheffield,11/04/2020,5.4,34.2,22,62,63.8,1016.1,15.7,1358,584853,103.98,52.00,17.78
1246,960,Sheffield,12/04/2020,5.4,25.6,13,44,75,1012.8,11.5,1392,584853,102.50,34.00,17.53
1247,1043,Sheffield,13/04/2020,3.8,32.1,16,35,60.6,1023.4,5.8,1463,584853,105.10,71.00,17.97
1248,1125,Sheffield,14/04/2020,6,29.6,16,40,59.5,1023.9,8,1511,584853,103.28,48.00,17.66
1249,1207,Sheffield,15/04/2020,7.8,30.7,19,56,48.2,1017.6,12.2,1587,584853,105.03,76.00,17.96
1250,1289,Sheffield,16/04/2020,11.1,31.1,30,70,60.8,1013.6,10.8,1634,584853,102.96,47.00,17.60
1251,1372,Sheffield,17/04/2020,7,28.3,16,36,73,1014.1,7.4,1672,584853,102.33,38.00,17.50
1252,1455,Sheffield,18/04/2020,5.9,28.2,13,30,78.5,1014.6,6.6,1731,584853,103.53,59.00,17.70
1253,1538,Sheffield,19/04/2020,5.3,30.2,12,33,77,1021.9,7.2,1773,584853,102.43,42.00,17.51
1254,1621,Sheffield,20/04/2020,6.8,29.7,17,37,72.7,1014.7,8.2,1837,584853,103.61,64.00,17.72
1255,1704,Sheffield,21/04/2020,6.8,31.3,22,45,71.7,1014.1,9.3,1877,584853,102.18,40.00,17.47
1256,1787,Sheffield,22/04/2020,7.6,31.1,27,54,72.1,1015.1,10.5,1920,584853,102.29,43.00,17.49
1257,1870,Sheffield,23/04/2020,7.3,28.8,22,43,69.6,1015,11.3,1939,584853,100.99,19.00,17.27
1258,1953,Sheffield,24/04/2020,7.8,32.2,17,50,60.7,1010.4,11.6,1982,584853,102.22,43.00,17.48
1259,2036,Sheffield,25/04/2020,5.4,27.6,16,53,74.1,1007.9,9.7,2035,584853,102.67,53.00,17.56
1260,2118,Sheffield,26/04/2020,6,37.1,27,74,68.1,1003.6,13.2,2073,584853,101.87,38.00,17.42
1261,2201,Sheffield,27/04/2020,5.4,27.4,8,21,69.8,999.7,10.3,2121,584853,102.32,48.00,17.49
1262,2283,Sheffield,28/04/2020,6.7,26.4,7,22,82.8,999.1,7.2,2144,584853,101.08,23.00,17.28
1263,2365,Sheffield,29/04/2020,8.4,21,8,35,93.3,995,6.7,2183,584853,101.82,39.00,17.41
1264,2427,Sheffield,30/04/2020,5.1,25.4,6,13,86.6,983.6,7.5,2218,584853,101.60,35.00,17.37
1265,79,Sheffield,01/05/2020,4.9,28.2,5,14,77.6,991.7,8.7,2235,584853,100.77,17.00,17.23
1266,161,Sheffield,02/05/2020,3.7,30.3,6,18,69.1,1003.4,10.3,2265,584853,101.34,30.00,17.33
1267,242,Sheffield,03/05/2020,6.6,20.6,9,32,74.6,1008.1,10.6,2294,584853,101.28,29.00,17.32
1268,325,Sheffield,04/05/2020,9.1,24.8,20,59,80.8,1015,9,2309,584853,100.65,15.00,17.21
1269,408,Sheffield,05/05/2020,6.8,28.7,10,23,68.8,1016.8,8.3,2330,584853,100.91,21.00,17.25
1270,491,Sheffield,06/05/2020,7.3,30.3,14,34,62,1017.6,9.9,2346,584853,100.69,16.00,17.22
1271,574,Sheffield,07/05/2020,7.5,37.2,18,50,57,1018.4,15.8,2359,584853,100.55,13.00,17.19
1272,655,Sheffield,08/05/2020,5.4,27.2,12,39,63.5,1015.7,17.5,2384,584853,101.06,25.00,17.28
1273,737,Sheffield,09/05/2020,7,33.1,11,35,65.9,1010.1,17.5,2406,584853,100.92,22.00,17.26
1274,818,Sheffield,10/05/2020,3.5,28,11,24,74.5,1012.5,7.8,2419,584853,100.54,13.00,17.19
1275,899,Sheffield,11/05/2020,4.2,25.6,10,19,66.9,1018.6,5.6,2437,584853,100.74,18.00,17.23
1276,981,Sheffield,12/05/2020,5.1,28.8,10,21,70.2,1016.2,8.1,2447,584853,100.41,10.00,17.17
1277,1064,Sheffield,13/05/2020,5.3,25.7,8,16,62.7,1017,6.7,2459,584853,100.49,12.00,17.18
1278,1146,Sheffield,14/05/2020,5.4,29.7,9,23,55.5,1018.6,9.5,2472,584853,100.53,13.00,17.19
1279,1228,Sheffield,15/05/2020,4.6,32,9,18,63,1018.5,10.2,2477,584853,100.20,5.00,17.13
1280,1310,Sheffield,16/05/2020,3.8,30,8,21,65.4,1018.2,10.8,2489,584853,100.48,12.00,17.18
1281,1393,Sheffield,17/05/2020,3.2,28.6,8,19,65.6,1017.5,13.6,2493,584853,100.16,4.00,17.13
1282,1476,Sheffield,18/05/2020,3.6,27.7,9,22,73.2,1016.5,14.6,2499,584853,100.24,6.00,17.14
1283,1559,Sheffield,19/05/2020,4.4,24.1,10,24,73.2,1017.2,15.9,2507,584853,100.32,8.00,17.15
1284,1642,Sheffield,20/05/2020,5.9,26.5,14,30,65,1013.7,19.6,2514,584853,100.28,7.00,17.15
1285,1725,Sheffield,21/05/2020,5.3,38.1,12,25,57.2,1011.2,17.5,2519,584853,100.20,5.00,17.13
1286,1808,Sheffield,22/05/2020,2.8,27.9,19,36,61.8,1004.7,15.5,2522,584853,100.12,3.00,17.12
1287,1891,Sheffield,23/05/2020,2,26.6,13,25,65.1,1012.7,12.6,2525,584853,100.12,3.00,17.12
1288,1974,Sheffield,24/05/2020,2.6,24.8,11,32,80.3,1022.5,12.5,2529,584853,100.16,4.00,17.13
1289,2057,Sheffield,25/05/2020,3.4,30.6,8,22,49.6,1025.2,17,2531,584853,100.08,2.00,17.11
1290,2139,Sheffield,26/05/2020,4.5,25.3,8,19,60.8,1027.6,16.1,2535,584853,100.16,4.00,17.13
1291,2221,Sheffield,27/05/2020,5.3,24.7,12,25,58.5,1028.5,16.6,2539,584853,100.16,4.00,17.13
1292,2385,Sheffield,29/05/2020,6.2,27.5,10,19,48,1022,17.1,2540,584853,100.04,1.00,17.11
1293,2448,Sheffield,30/05/2020,5.1,29.5,15,32,59.4,1018,16.2,2540,584853,100.00,0.00,17.10
1294,284,Southend-on-Sea,04/03/2020,9.2,18.9,11,32,84.1,1004.4,6.1,1,183125,0.00,0.00,0.00
1295,696,Southend-on-Sea,09/03/2020,3.9,26.6,9,22,82.3,1010.6,7.5,2,183125,200.00,1.00,109.22
1296,940,Southend-on-Sea,12/03/2020,2.4,29,9,21,63.6,1009.7,7.2,3,183125,150.00,1.00,81.91
1297,1105,Southend-on-Sea,14/03/2020,3.6,26.6,8,24,83.5,1013.7,9.4,4,183125,133.33,1.00,72.81
1298,1269,Southend-on-Sea,16/03/2020,7.2,17.8,10,32,68.3,1022.1,7.5,6,183125,150.00,2.00,81.91
1299,1352,Southend-on-Sea,17/03/2020,4.4,25.2,11,30,80,1027.3,10.5,8,183125,133.33,2.00,72.81
1300,1684,Southend-on-Sea,21/03/2020,2.7,27.5,13,30,63.5,1026.4,6.8,9,183125,112.50,1.00,61.43
1301,1767,Southend-on-Sea,22/03/2020,3.3,26,16,45,65,1026.8,6.8,13,183125,144.44,4.00,78.88
1302,1850,Southend-on-Sea,23/03/2020,5.5,25.3,17,45,54.2,1026.8,7.9,19,183125,146.15,6.00,79.81
1303,1933,Southend-on-Sea,24/03/2020,6.6,22,18,51,54.8,1026,9.5,25,183125,131.58,6.00,71.85
1304,2016,Southend-on-Sea,25/03/2020,8.9,23,25,68,54.5,1024.7,8.6,27,183125,108.00,2.00,58.98
1305,2099,Southend-on-Sea,26/03/2020,7.4,27.1,39,91,67.1,1023.3,6.6,35,183125,129.63,8.00,70.79
1306,2181,Southend-on-Sea,27/03/2020,4.1,33.9,41,92,53.8,1023.7,9.7,42,183125,120.00,7.00,65.53
1307,2263,Southend-on-Sea,28/03/2020,2.4,33.5,22,41,69.3,1029.2,7.8,48,183125,114.29,6.00,62.41
1308,2345,Southend-on-Sea,29/03/2020,1.3,30.7,12,26,59.3,1037.2,4.9,59,183125,122.92,11.00,67.12
1309,2408,Southend-on-Sea,30/03/2020,2.8,26.6,10,26,71.6,1035.5,3.7,72,183125,122.03,13.00,66.64
1310,2471,Southend-on-Sea,31/03/2020,2.5,30.3,11,28,62.8,1031.1,7.4,87,183125,120.83,15.00,65.98
1311,59,Southend-on-Sea,01/04/2020,4.9,23.3,10,32,63.2,1023.9,7.2,103,183125,118.39,16.00,64.65
1312,141,Southend-on-Sea,02/04/2020,3.5,23.5,11,30,66,1016,10.7,117,183125,113.59,14.00,62.03
1313,223,Southend-on-Sea,03/04/2020,3.8,25.7,13,32,61.2,1018.1,9.9,135,183125,115.38,18.00,63.01
1314,305,Southend-on-Sea,04/04/2020,5.6,22.7,16,54,74.5,1020,10.3,150,183125,111.11,15.00,60.68
1315,388,Southend-on-Sea,05/04/2020,3.2,36.5,17,52,47.5,1013.6,16.1,159,183125,106.00,9.00,57.88
1316,471,Southend-on-Sea,06/04/2020,4.4,28.1,12,34,61.6,1017.1,14.1,178,183125,111.95,19.00,61.13
1317,554,Southend-on-Sea,07/04/2020,10.8,18.6,18,51,60,1028.2,14.4,196,183125,110.11,18.00,60.13
1318,636,Southend-on-Sea,08/04/2020,11.6,14.6,45,111,60.6,1024.7,15.7,201,183125,102.55,5.00,56.00
1319,717,Southend-on-Sea,09/04/2020,10.7,19.4,54,144,64,1025.2,15.4,207,183125,102.99,6.00,56.24
1320,799,Southend-on-Sea,10/04/2020,9.5,19.3,33,82,65.5,1025.1,15.9,217,183125,104.83,10.00,57.25
1321,880,Southend-on-Sea,11/04/2020,8.6,23,23,63,54,1022.5,18.2,221,183125,101.84,4.00,55.61
1322,961,Southend-on-Sea,12/04/2020,4.7,33.4,23,65,51.8,1014.6,19.7,229,183125,103.62,8.00,56.58
1323,1044,Southend-on-Sea,13/04/2020,1.1,32.3,16,34,59,1026.8,8.4,239,183125,104.37,10.00,56.99
1324,1126,Southend-on-Sea,14/04/2020,2.2,33.6,11,27,61.7,1027.7,6.6,246,183125,102.93,7.00,56.21
1325,1208,Southend-on-Sea,15/04/2020,5.6,30.2,25,66,64.4,1023.1,10,252,183125,102.44,6.00,55.94
1326,1290,Southend-on-Sea,16/04/2020,10.4,21.2,43,101,79.6,1016.4,11.6,255,183125,101.19,3.00,55.26
1327,1373,Southend-on-Sea,17/04/2020,2.6,31.6,16,39,79.3,1017.2,10,256,183125,100.39,1.00,54.82
1328,1456,Southend-on-Sea,18/04/2020,3,27.8,17,46,86,1018,9.9,257,183125,100.39,1.00,54.82
1329,1539,Southend-on-Sea,19/04/2020,2.7,30.8,16,39,65.6,1019.8,11.6,262,183125,101.95,5.00,55.67
1330,1622,Southend-on-Sea,20/04/2020,3.6,28.3,21,43,62.3,1017.5,12.7,269,183125,102.67,7.00,56.07
1331,1705,Southend-on-Sea,21/04/2020,4.2,29.7,26,51,59.6,1017,13.4,274,183125,101.86,5.00,55.62
1332,1788,Southend-on-Sea,22/04/2020,5.5,28.2,29,57,59.5,1019.6,15.4,279,183125,101.82,5.00,55.60
1333,1871,Southend-on-Sea,23/04/2020,6.9,24.8,31,69,64.6,1019.5,13.3,283,183125,101.43,4.00,55.39
1334,1954,Southend-on-Sea,24/04/2020,4.1,32.9,26,62,70.5,1015.6,12.5,287,183125,101.41,4.00,55.38
1335,2037,Southend-on-Sea,25/04/2020,1.5,36.4,11,34,78,1015.8,8.8,291,183125,101.39,4.00,55.37
1336,2119,Southend-on-Sea,26/04/2020,2.8,31.3,13,44,64.7,1012.5,13.2,295,183125,101.37,4.00,55.36
1337,2202,Southend-on-Sea,27/04/2020,5.1,31.1,23,61,73.6,1007.4,12.2,297,183125,100.68,2.00,54.98
1338,2284,Southend-on-Sea,28/04/2020,2.1,30.5,7,19,97,1004.7,7.8,298,183125,100.34,1.00,54.79
1339,2366,Southend-on-Sea,29/04/2020,3.2,26.6,9,26,87,1001.6,10.6,302,183125,101.34,4.00,55.34
1340,2428,Southend-on-Sea,30/04/2020,2.3,27.8,9,18,90.8,995.8,9.7,307,183125,101.66,5.00,55.51
1341,80,Southend-on-Sea,01/05/2020,3.5,26.7,7,18,77.2,998.8,11.1,312,183125,101.63,5.00,55.50
1342,162,Southend-on-Sea,02/05/2020,2.8,27.9,6,16,63.3,1011.2,12.7,319,183125,102.24,7.00,55.83
1343,243,Southend-on-Sea,03/05/2020,3.7,26.6,9,28,74.5,1016.2,12.2,320,183125,100.31,1.00,54.78
1344,326,Southend-on-Sea,04/05/2020,2.1,34.9,11,34,68,1020.3,13.3,332,183125,103.75,12.00,56.66
1345,409,Southend-on-Sea,05/05/2020,1.7,33.7,10,23,64.6,1021.5,10.8,335,183125,100.90,3.00,55.10
1346,492,Southend-on-Sea,06/05/2020,3.5,32.5,14,35,69.5,1025.8,13,337,183125,100.60,2.00,54.93
1347,575,Southend-on-Sea,07/05/2020,6.6,26.8,21,59,59,1022.3,17.4,344,183125,102.08,7.00,55.74
1348,656,Southend-on-Sea,08/05/2020,6.3,25,22,62,55.5,1017.5,19.1,346,183125,100.58,2.00,54.92
1349,738,Southend-on-Sea,09/05/2020,7,36,42,108,54.6,1013.6,18.5,348,183125,100.58,2.00,54.92
1350,819,Southend-on-Sea,10/05/2020,3.3,32,28,73,76,1009.5,12,349,183125,100.29,1.00,54.76
1351,900,Southend-on-Sea,11/05/2020,0.9,24,11,19,54,1019.1,8.8,351,183125,100.57,2.00,54.92
1352,982,Southend-on-Sea,12/05/2020,2.8,27.7,9,21,50.6,1020,11.1,353,183125,100.57,2.00,54.92
1353,1065,Southend-on-Sea,13/05/2020,2.6,26.6,10,20,63.1,1017.7,9.5,355,183125,100.57,2.00,54.92
1354,1147,Southend-on-Sea,14/05/2020,2,25.7,7,14,60,1022.7,9.8,359,183125,101.13,4.00,55.22
1355,1229,Southend-on-Sea,15/05/2020,2.6,29.2,7,16,56,1024.3,13.6,362,183125,100.84,3.00,55.06
1356,1394,Southend-on-Sea,17/05/2020,3.3,23.3,11,31,57.3,1023.9,15.9,363,183125,100.28,1.00,54.76
1357,1477,Southend-on-Sea,18/05/2020,3.6,27.1,10,22,46,1023.8,18.3,369,183125,101.65,6.00,55.51
1358,1643,Southend-on-Sea,20/05/2020,5.5,24.9,12,34,58.6,1021,21.9,373,183125,101.08,4.00,55.20
1359,1809,Southend-on-Sea,22/05/2020,1.9,30,21,36,61.5,1014.4,18.3,375,183125,100.54,2.00,54.90
1360,1892,Southend-on-Sea,23/05/2020,1.2,27,15,25,54,1021.8,15.1,376,183125,100.27,1.00,54.75
1361,1975,Southend-on-Sea,24/05/2020,1.3,26.8,13,35,61.7,1030.9,17.4,378,183125,100.53,2.00,54.90
1362,2058,Southend-on-Sea,25/05/2020,3.3,27.5,15,42,57.6,1034.6,20.3,402,183125,106.35,24.00,58.07
1363,2140,Southend-on-Sea,26/05/2020,5.3,30,13,31,53.5,1035.6,21.1,403,183125,100.25,1.00,54.74
1364,2222,Southend-on-Sea,27/05/2020,3.5,27.9,9,22,60.2,1035.9,19.7,404,183125,100.25,1.00,54.74
1365,2449,Southend-on-Sea,30/05/2020,3.8,21.8,17,45,57.5,1023.6,19.3,404,183125,100.00,0.00,54.61
1366,1747,Swansea,22/02/2020,4.6,30.1,33,50,95,1021.3,8.7,0,246993,0.00,0.00,0.00
1367,1830,Swansea,23/02/2020,3.7,24.4,11,21,79,1018.2,9.5,0,246993,0.00,0.00,0.00
1368,1913,Swansea,24/02/2020,5.1,26,17,25,94.7,1007.9,9.4,0,246993,0.00,0.00,0.00
1369,1996,Swansea,25/02/2020,5.1,28.9,12,13,85.5,999.4,4.3,0,246993,0.00,0.00,0.00
1370,2079,Swansea,26/02/2020,5.1,28.9,15,21,81.8,1006.8,5.4,0,246993,0.00,0.00,0.00
1371,2161,Swansea,27/02/2020,4.6,27.3,10,17,84.3,1002.2,5,1,246993,0.00,1.00,0.00
1372,2243,Swansea,28/02/2020,6,23.6,14,25,96.2,993,9.6,1,246993,100.00,0.00,40.49
1373,2325,Swansea,29/02/2020,4.3,30.1,20,25,83,978.5,6.6,1,246993,100.00,0.00,40.49
1374,39,Swansea,01/03/2020,3.7,31.7,16,25,79.8,982.2,6,1,246993,100.00,0.00,40.49
1375,121,Swansea,02/03/2020,5.1,29.1,14,17,80,987.5,5,1,246993,100.00,0.00,40.49
1376,203,Swansea,03/03/2020,8.7,24,20,30,84.5,1003.7,3.8,1,246993,100.00,0.00,40.49
1377,285,Swansea,04/03/2020,6,26,8,17,94,1003.5,5.5,1,246993,100.00,0.00,40.49
1378,368,Swansea,05/03/2020,5.1,24,10,30,87.3,997.6,5,1,246993,100.00,0.00,40.49
1379,451,Swansea,06/03/2020,10.6,13,15,38,91.5,1007,4,1,246993,100.00,0.00,40.49
1380,534,Swansea,07/03/2020,8.3,23.8,30,55,95,1011.3,8.8,2,246993,200.00,1.00,80.97
1381,616,Swansea,08/03/2020,5.5,28.1,20,30,90.2,1005.4,8.3,2,246993,100.00,0.00,40.49
1382,697,Swansea,09/03/2020,5.5,28.1,22,38,86.7,1009.3,8.3,2,246993,100.00,0.00,40.49
1383,779,Swansea,10/03/2020,4.6,27.3,12,30,93,1006.6,9.4,9,246993,450.00,7.00,182.19
1384,860,Swansea,11/03/2020,6.1,29.7,20,42,95,1005.7,9,13,246993,144.44,4.00,58.48
1385,941,Swansea,12/03/2020,2.8,29.9,23,42,74,1011.4,7.3,24,246993,184.62,11.00,74.75
1386,1024,Swansea,13/03/2020,6.1,27.3,23,38,81.5,1018.2,7.2,28,246993,116.67,4.00,47.23
1387,1106,Swansea,14/03/2020,8.3,26.4,22,42,95.5,1011.7,9.3,28,246993,100.00,0.00,40.49
1388,1188,Swansea,15/03/2020,6.4,28.3,11,25,91,1006.8,7.7,30,246993,107.14,2.00,43.38
1389,1270,Swansea,16/03/2020,7.4,25.2,17,34,87.2,1024.1,8.3,32,246993,106.67,2.00,43.19
1390,1353,Swansea,17/03/2020,9.2,22.4,20,38,94,1026.5,8.8,34,246993,106.25,2.00,43.02
1391,1436,Swansea,18/03/2020,9.2,20.8,9,34,94,1024.7,8.7,37,246993,108.82,3.00,44.06
1392,1519,Swansea,19/03/2020,4.2,27.7,6,21,84.2,1027.3,5.5,42,246993,113.51,5.00,45.96
1393,1602,Swansea,20/03/2020,2.3,27.7,10,21,68.7,1028.8,6.6,48,246993,114.29,6.00,46.27
1394,1685,Swansea,21/03/2020,3.2,28.1,11,17,51.2,1025.4,6.6,53,246993,110.42,5.00,44.70
1395,1768,Swansea,22/03/2020,4.2,24.8,14,38,59.5,1026.4,6.8,61,246993,115.09,8.00,46.60
1396,1851,Swansea,23/03/2020,6.4,26,20,42,61,1025.3,7.2,71,246993,116.39,10.00,47.12
