Date,City,co,dew,humidity,no2,o3,pm10,pm25,pressure,so2,temperature,merged_wind_gust,merged_wind_speed,Dplus7,Dplus7City,TotalCases,Population,daily_growth_rt_percent
22/04/2020,Edinburgh,0.2,7,86.5,3.4,31.7,15,31,1027.9,1.1,8.5,7.7,3,29/04/2020,43950Edinburgh,1907,524930,104.0938865
23/04/2020,Edinburgh,0.3,6,81.2,5.1,31.7,13,31,1024.5,0.7,8.3,5,2.1,30/04/2020,43951Edinburgh,1980,524930,103.8280021
24/04/2020,Edinburgh,0.5,5.5,85,7.4,31.7,14,38,1017.3,1.5,7.5,5.7,2,01/05/2020,43952Edinburgh,2014,524930,101.7171717
25/04/2020,Edinburgh,0.2,6.5,85.2,5.5,32.2,18,57,1014.4,1.9,7.8,4,1.7,02/05/2020,43953Edinburgh,2065,524930,102.5322741
26/04/2020,Edinburgh,,2.5,66.2,3.2,30.4,6,9,1008.7,1.6,9.1,8.7,2.8,03/05/2020,43954Edinburgh,2089,524930,101.1622276
27/04/2020,Edinburgh,,3,70.4,3.7,31.7,6,9,1008.4,1.6,7.5,5.6,2.7,04/05/2020,43955Edinburgh,2113,524930,101.1488751
28/04/2020,Edinburgh,,3,72.5,3.2,28.4,8,17,1007.2,1.3,7.7,6.1,2.7,05/05/2020,43956Edinburgh,2149,524930,101.7037388
29/04/2020,Edinburgh,0.2,4,78.3,3.8,26,9,21,999.9,0.7,7,5.7,2.3,06/05/2020,43957Edinburgh,2200,524930,102.3731968
30/04/2020,Edinburgh,0.2,6.5,90,5.5,26.4,10,32,989.5,1.5,7.3,4.6,2,07/05/2020,43958Edinburgh,2241,524930,101.8636364
01/05/2020,Edinburgh,,6,83.4,5.5,28.5,9,25,994.8,1.1,8.7,3.7,1.5,08/05/2020,43959Edinburgh,2274,524930,101.4725569
02/05/2020,Edinburgh,,5,69.2,3.2,30.5,5,13,1007.8,0.6,10,6.7,2.7,09/05/2020,43960Edinburgh,2324,524930,102.1987687
03/05/2020,Edinburgh,,7,79.7,1.9,27.9,10,25,1016.4,0.5,9,6,3,10/05/2020,43961Edinburgh,2359,524930,101.5060241
04/05/2020,Edinburgh,0.7,5,86.5,2.8,30.5,7,17,1023.8,1.9,7.7,6.7,2.9,11/05/2020,43962Edinburgh,2380,524930,100.8902077
05/05/2020,Edinburgh,0.8,4,73.1,5.1,30.1,7,13,1025,2.2,8.7,5.5,2.3,12/05/2020,43963Edinburgh,2397,524930,100.7142857
06/05/2020,Edinburgh,0.2,2.5,61.5,6.9,29.7,9,21,1025.1,1.3,11.4,4.5,1.7,13/05/2020,43964Edinburgh,2428,524930,101.2932833
07/05/2020,Edinburgh,0.2,6,61.5,6.4,36.2,11,30,1019.7,1.1,13.8,6.5,2.2,14/05/2020,43965Edinburgh,2459,524930,101.276771
08/05/2020,Edinburgh,,8.5,72.7,4.6,26.9,8,17,1016,1.6,13.6,8.3,2.9,15/05/2020,43966Edinburgh,2497,524930,101.5453436
09/05/2020,Edinburgh,,9,75.3,4.6,24.4,6,13,1013.5,1.9,14.3,5.5,1.8,16/05/2020,43967Edinburgh,2539,524930,101.6820184
10/05/2020,Edinburgh,,-0.5,66.4,2.3,27.3,8,13,1021.1,1.6,5.6,13.5,5,17/05/2020,43968Edinburgh,2561,524930,100.8664829
11/05/2020,Edinburgh,,-3,52.6,4.2,29.3,6,13,1026,2.1,6.9,7,2.1,18/05/2020,43969Edinburgh,2568,524930,100.2733307
12/05/2020,Edinburgh,,1.5,73.5,3.2,27.9,6,13,1018.7,2.3,6.1,9.7,3.6,19/05/2020,43970Edinburgh,2575,524930,100.2725857
13/05/2020,Edinburgh,0.2,-1.5,58.5,4.6,25,6,12,1021.6,2.1,6.1,5.4,1.8,20/05/2020,43971Edinburgh,2584,524930,100.3495146
14/05/2020,Edinburgh,0.3,3,60.6,4.2,28.5,5,11,1022.2,2.1,9.5,8.2,2.8,21/05/2020,43972Edinburgh,2611,524930,101.0448916
15/05/2020,Edinburgh,,3.5,64,3.5,30.2,6,13,1021.8,1.1,10,10.3,3.3,22/05/2020,43973Edinburgh,2634,524930,100.8808885
16/05/2020,Edinburgh,,6,71,2.8,28.5,6,13,1019.7,0.9,10.9,11.7,4,23/05/2020,43974Edinburgh,2649,524930,100.5694761
17/05/2020,Edinburgh,,10.5,81.7,1.4,26.4,5,9,1017,0.6,11.8,13,4.7,24/05/2020,43975Edinburgh,2665,524930,100.6040015
18/05/2020,Edinburgh,0.3,10,86,3.7,27.3,5,13,1016,0.7,12.2,10.7,4.3,25/05/2020,43976Edinburgh,2669,524930,100.1500938
19/05/2020,Edinburgh,0.3,12.5,85.1,4.6,22.4,4,11,1018.1,1.5,14.4,9,3.2,26/05/2020,43977Edinburgh,2675,524930,100.2248033
20/05/2020,Edinburgh,0.3,12.5,69.4,4.6,26.6,7,17,1018.4,2.6,17.6,5.5,2,27/05/2020,43978Edinburgh,2685,524930,100.3738318
21/05/2020,Edinburgh,0.3,8,61.5,6.9,33.9,7,17,1015.8,1.4,13.7,7,2.6,28/05/2020,43979Edinburgh,2691,524930,100.2234637
22/05/2020,Edinburgh,,8,66.9,2.3,29.3,14,30,999.6,0.9,13.3,20.5,9.2,29/05/2020,43980Edinburgh,2698,524930,100.2601263
23/05/2020,Edinburgh,,7,78.2,2.8,27.6,10,17,1002.9,0.7,10.5,22,10.2,30/05/2020,43981Edinburgh,2706,524930,100.2965159
24/05/2020,Edinburgh,0.2,9.5,79.7,3.2,26.2,8,17,1022.6,0.7,12.6,13,4.6,31/05/2020,43982Edinburgh,2709,524930,100.1108647
04/03/2020,Glasgow,,0.5,75,21,15.9,12,25,1008.2,1.7,4,1.4,2.7,11/03/2020,43901Glasgow,5,633120,0
05/03/2020,Glasgow,,1,87.2,25.2,3,16,42,1002.5,2.3,2.8,1,0.7,12/03/2020,43902Glasgow,10,633120,200
06/03/2020,Glasgow,,1,90.2,21.5,1.7,16,46,1005.3,1.9,2.7,1.7,1.5,13/03/2020,43903Glasgow,20,633120,200
07/03/2020,Glasgow,,8,90,6.9,23.2,8,21,1000.5,2.1,10,15.4,8,14/03/2020,43904Glasgow,31,633120,155
08/03/2020,Glasgow,,4,85,5.1,26.1,8,17,995,2.5,6.8,14.3,6,15/03/2020,43905Glasgow,39,633120,125.8064516
09/03/2020,Glasgow,,4.5,89.5,8.3,22.9,7,17,1002.6,2.3,6.5,10.8,4.3,16/03/2020,43906Glasgow,44,633120,112.8205128
10/03/2020,Glasgow,,6,85.3,6,26,11,30,994.2,3,8.6,14.9,6.6,17/03/2020,43907Glasgow,49,633120,111.3636364
11/03/2020,Glasgow,,2.5,84.5,6.5,26.9,10,21,996,1.9,5,12.3,5.6,18/03/2020,43908Glasgow,57,633120,116.3265306
12/03/2020,Glasgow,,2,87,7.8,23.2,6,13,997.8,1.9,4.1,15.9,5.6,19/03/2020,43909Glasgow,71,633120,124.5614035
13/03/2020,Glasgow,,0,76.5,16,22.4,15,26,1017.5,1.9,4.4,7.1,2,20/03/2020,43910Glasgow,91,633120,128.1690141
14/03/2020,Glasgow,,5,85.6,7.4,24.3,8,21,1004.7,1.8,7.9,9,4.4,21/03/2020,43911Glasgow,110,633120,120.8791209
15/03/2020,Glasgow,,4.5,81,4.6,28.1,8,17,998,,7.1,14.8,7,22/03/2020,43912Glasgow,130,633120,118.1818182
16/03/2020,Glasgow,,3.5,87,8.3,23.2,8,17,1015,,7,13.3,7.1,23/03/2020,43913Glasgow,152,633120,116.9230769
17/03/2020,Glasgow,,5,84,7.8,21.6,10,25,1016,0.6,7.5,14,6.2,24/03/2020,43914Glasgow,183,633120,120.3947368
18/03/2020,Glasgow,,2,80,7.8,24.4,9,17,1021,0.2,4.8,10,5.1,25/03/2020,43915Glasgow,221,633120,120.7650273
19/03/2020,Glasgow,,1.5,80,12.8,22.4,13,25,1029.5,0.5,4.5,5.1,2.5,26/03/2020,43916Glasgow,258,633120,116.7420814
20/03/2020,Glasgow,,-1,78,15.1,19.9,10,21,1036,0.2,3.6,3.6,3,27/03/2020,43917Glasgow,299,633120,115.8914729
21/03/2020,Glasgow,,-1,69,6.9,25.2,10,17,1032,4.5,4.4,7.6,4.6,28/03/2020,43918Glasgow,376,633120,125.7525084
22/03/2020,Glasgow,,-1,75,8.3,20.4,16,46,1029,6.4,3,2.8,2.3,29/03/2020,43919Glasgow,401,633120,106.6489362
23/03/2020,Glasgow,,1.5,65,11.1,21.6,23,57,1023,6.1,8,6.5,2.5,30/03/2020,43920Glasgow,449,633120,111.9700748
24/03/2020,Glasgow,,5.5,72.2,6.4,26.9,23,59,1017,2.3,9.8,14.8,6.4,31/03/2020,43921Glasgow,547,633120,121.8262806
25/03/2020,Glasgow,,8,89,7.5,24.4,10,34,1022,0.9,9,7.6,4.1,01/04/2020,43922Glasgow,632,633120,115.5393053
26/03/2020,Glasgow,,7,93,8.1,22.8,7,21,1027.7,1.9,7.7,3.6,2.5,02/04/2020,43923Glasgow,682,633120,107.9113924
27/03/2020,Glasgow,,5.5,87,7.8,23.9,7,17,1032,6.1,7,4.7,2.8,03/04/2020,43924Glasgow,779,633120,114.2228739
28/03/2020,Glasgow,,-1.5,62,6.5,28,8,17,1041,2.7,4.5,9,3.8,04/04/2020,43925Glasgow,851,633120,109.2426187
29/03/2020,Glasgow,,-4,57.6,4.2,29.9,9,17,1048.5,2.3,5.3,7.6,3.6,05/04/2020,43926Glasgow,931,633120,109.4007051
30/03/2020,Glasgow,,2,77.5,7.8,26.9,7,13,1040.5,1.5,6,5,2.5,06/04/2020,43927Glasgow,984,633120,105.6928034
31/03/2020,Glasgow,,3,75,7.4,28.1,7,13,1036.4,1.3,7.2,5.5,2.6,07/04/2020,43928Glasgow,1094,633120,111.1788618
01/04/2020,Glasgow,,3.5,76.9,4,30.1,7,17,1023,1.3,8,11.2,4.6,08/04/2020,43929Glasgow,1166,633120,106.5813528
02/04/2020,Glasgow,,1.5,70.8,3.2,32.9,9,17,1012.5,1.4,7.7,14.9,7.2,09/04/2020,43930Glasgow,1251,633120,107.2898799
03/04/2020,Glasgow,,2.5,80.6,5.5,28.5,7,13,1013,0.9,6.5,6.5,3.3,10/04/2020,43931Glasgow,1314,633120,105.0359712
04/04/2020,Glasgow,,5,76,3.7,28.5,8,17,1014,1.3,9,5.8,3.8,11/04/2020,43932Glasgow,1387,633120,105.5555556
05/04/2020,Glasgow,,4,65.4,3.7,32.9,12,30,1008,1.7,12.8,10.8,4.6,12/04/2020,43933Glasgow,1449,633120,104.4700793
06/04/2020,Glasgow,,5,71.5,2.8,24.8,11,25,1010.5,1.9,10.4,15.9,7.3,13/04/2020,43934Glasgow,1486,633120,102.5534852
07/04/2020,Glasgow,,3,63,4.6,26,12,30,1026.5,1.7,8.5,6,2.3,14/04/2020,43935Glasgow,1575,633120,105.9892328
08/04/2020,Glasgow,,7,76,4.6,25.6,11,25,1024,1.8,11,6.6,3.3,15/04/2020,43936Glasgow,1661,633120,105.4603175
09/04/2020,Glasgow,,6,88,6,21.3,12,32,1028,7.1,8,3.8,4.3,16/04/2020,43937Glasgow,1742,633120,104.8765804
10/04/2020,Glasgow,,9,87,9.6,14.7,23,60,1025,4.2,11.5,1.6,1.5,17/04/2020,43938Glasgow,1794,633120,102.9850746
11/04/2020,Glasgow,,7.5,80,3.7,26.4,5,9,1020,2.6,11.3,8.5,3.5,18/04/2020,43939Glasgow,1905,633120,106.187291
12/04/2020,Glasgow,,4,72.5,2.8,28.9,11,25,1018,3.6,9,7.4,3.3,19/04/2020,43940Glasgow,1949,633120,102.3097113
13/04/2020,Glasgow,,-2.5,56.7,4.2,30.5,15,32,1033,5.6,5,7.3,2.8,20/04/2020,43941Glasgow,2020,633120,103.6428938
14/04/2020,Glasgow,,2,74.8,4.6,28.9,17,38,1029,3.3,6.6,6,3.3,21/04/2020,43942Glasgow,2085,633120,103.2178218
15/04/2020,Glasgow,,4,80,4.2,28.1,11,30,1023,6,8.4,8.8,4.1,22/04/2020,43943Glasgow,2174,633120,104.2685851
16/04/2020,Glasgow,,3,74,5.1,27.7,11,25,1020,6.1,8.7,8.1,4.5,23/04/2020,43944Glasgow,2250,633120,103.4958602
17/04/2020,Glasgow,,4.5,72.5,3.7,29.1,12,30,1022,6.4,8,9.5,5.1,24/04/2020,43945Glasgow,2311,633120,102.7111111
18/04/2020,Glasgow,,1.5,65,2.8,31.3,13,30,1022,6.5,6.3,11,6.4,25/04/2020,43946Glasgow,2428,633120,105.0627434
19/04/2020,Glasgow,,4,73.3,3.2,29.7,11,25,1025,2.3,8.5,6.8,4.6,26/04/2020,43947Glasgow,2479,633120,102.1004942
20/04/2020,Glasgow,,3,68.5,3.2,30.5,10,21,1027,3.4,8.5,12.3,6.1,27/04/2020,43948Glasgow,2531,633120,102.09762
21/04/2020,Glasgow,,3.5,69.1,3.2,32.8,11,21,1027.5,4.6,9.5,14.4,6,28/04/2020,43949Glasgow,2604,633120,102.8842355
22/04/2020,Glasgow,,4.5,71,4.2,31.2,15,30,1028,4.9,10,9.8,5.1,29/04/2020,43950Glasgow,2672,633120,102.6113671
23/04/2020,Glasgow,,4.5,64,6,30.6,15,34,1026,4.6,10.5,5.2,3,30/04/2020,43951Glasgow,2759,633120,103.255988
24/04/2020,Glasgow,,2.5,65.5,8.7,34.2,14,34,1019,2.2,9.5,3.6,1.5,01/05/2020,43952Glasgow,2864,633120,103.8057267
25/04/2020,Glasgow,,6,80.6,5.1,32.5,20,59,1016,4.1,8.5,5.1,2.7,02/05/2020,43953Glasgow,2939,633120,102.6187151
26/04/2020,Glasgow,,2.5,65,2.8,28.9,5,9,1011,0.7,9.2,8.5,3.8,03/05/2020,43954Glasgow,2985,633120,101.5651582
27/04/2020,Glasgow,,2,78,5.1,26.9,5,9,1009,2.1,7.5,4.6,2,04/05/2020,43955Glasgow,3029,633120,101.4740369
28/04/2020,Glasgow,,3,75.2,6,24,8,17,1009,2.2,7.5,4.5,3,05/05/2020,43956Glasgow,3070,633120,101.353582
29/04/2020,Glasgow,,5,85.5,6.9,19.1,8,21,1001,2.2,7,4.6,3,06/05/2020,43957Glasgow,3203,633120,104.3322476
30/04/2020,Glasgow,,6,84,6.9,21.6,9,25,991,4.4,8.5,5.3,2.8,07/05/2020,43958Glasgow,3277,633120,102.3103341
01/05/2020,Glasgow,,5.5,81,6.9,24.5,8,21,997,3,9,2.4,1.2,08/05/2020,43959Glasgow,3333,633120,101.7088801
02/05/2020,Glasgow,,3,67.5,4.5,26,6,13,1010,2.6,10.2,6,2.6,09/05/2020,43960Glasgow,3367,633120,101.020102
03/05/2020,Glasgow,,3,73,4.6,24.8,10,25,1017,3.3,9.6,4.2,1.6,10/05/2020,43961Glasgow,3449,633120,102.4354024
04/05/2020,Glasgow,,3.5,70,4.2,27.7,7,17,1024.5,3.8,9.4,8.6,4.6,11/05/2020,43962Glasgow,3479,633120,100.8698173
05/05/2020,Glasgow,,2.5,67.5,5.5,27.4,7,17,1025.5,3.3,9.3,4.4,3,12/05/2020,43963Glasgow,3510,633120,100.8910606
06/05/2020,Glasgow,,3,66,7.4,29.7,10,25,1026.5,3.2,10.5,3,1.5,13/05/2020,43964Glasgow,3579,633120,101.965812
07/05/2020,Glasgow,,5.5,68.5,8.7,31.7,15,38,1022,3.4,12,3.4,1.8,14/05/2020,43965Glasgow,3628,633120,101.3690975
08/05/2020,Glasgow,,9,73.5,4.6,23.6,8,17,1017,3.4,13.5,7,3,15/05/2020,43966Glasgow,3663,633120,100.9647189
09/05/2020,Glasgow,,10,74,4.2,22,8,17,1015.9,3.7,14.5,4.1,2,16/05/2020,43967Glasgow,3707,633120,101.2012012
10/05/2020,Glasgow,,-2,61.4,1.9,24.8,5,9,1022.5,3.6,7,13,5.6,17/05/2020,43968Glasgow,3731,633120,100.6474238
11/05/2020,Glasgow,,-4,49,3.2,28.5,6,13,1028.5,3.6,7.1,6.8,3.3,18/05/2020,43969Glasgow,3742,633120,100.2948271
12/05/2020,Glasgow,,2.5,74,3.7,29.7,8,13,1021.2,3.8,7,7.4,3.8,19/05/2020,43970Glasgow,3759,633120,100.4543025
13/05/2020,Glasgow,,-3,49.1,4.8,24.4,5,13,1023,4.1,7,5.3,2,20/05/2020,43971Glasgow,3780,633120,100.5586592
14/05/2020,Glasgow,,3,64.3,5.5,26.9,6,13,1024,3.8,9,8.6,4.1,21/05/2020,43972Glasgow,3806,633120,100.6878307
15/05/2020,Glasgow,,4,69,4.2,30.8,7,13,1024,4,9.5,9.4,3.6,22/05/2020,43973Glasgow,3841,633120,100.9196006
16/05/2020,Glasgow,,6,76,2.3,28.1,6,13,1021.9,4.2,10.8,10.3,5,23/05/2020,43974Glasgow,3865,633120,100.6248373
17/05/2020,Glasgow,,9,90,2.8,23.6,5,14,1018,3.4,11,9.4,4.6,24/05/2020,43975Glasgow,3876,633120,100.2846054
18/05/2020,Glasgow,,9.5,87,4.2,24.4,7,21,1018,4.1,12.3,11,4.7,25/05/2020,43976Glasgow,3892,633120,100.4127967
19/05/2020,Glasgow,,12,89,4.6,20.8,6,13,1021,4.5,14,5.9,2.8,26/05/2020,43977Glasgow,3898,633120,100.1541624
20/05/2020,Glasgow,,12,79.5,4.6,17.1,10,21,1020,4,15,5,2.1,27/05/2020,43978Glasgow,3916,633120,100.4617753
21/05/2020,Glasgow,,7.5,69.5,7.4,25.6,9,21,1017.5,4.6,13.8,3.8,2,28/05/2020,43979Glasgow,3934,633120,100.4596527
22/05/2020,Glasgow,,8,72.4,2.8,26.9,16,38,1002,4.4,13,17.4,9,29/05/2020,43980Glasgow,3939,633120,100.1270971
23/05/2020,Glasgow,,6.5,84,1.9,26.9,11,25,1008.4,1.3,10,18.5,9.7,30/05/2020,43981Glasgow,3943,633120,100.1015486
24/05/2020,Glasgow,,9.5,87,2.8,26,10,25,1025.7,1.4,12,9,3.8,31/05/2020,43982Glasgow,3946,633120,100.0760842
21/02/2020,Leeds,4,,,7.2,25.3,11,32,,2.5,,,,28/02/2020,43889Leeds,1,793139,0
23/02/2020,Leeds,4.2,,,8.2,27.7,7,27,,2.3,,,,01/03/2020,43891Leeds,2,793139,200
26/02/2020,Leeds,4.3,0,81.3,10.6,25.3,9,23,1000.5,2.1,2.2,12.8,7.3,04/03/2020,43894Leeds,3,793139,150
29/02/2020,Leeds,1.8,1,83.8,6.3,28.4,6,22,975.8,1.9,5.3,17.6,10,07/03/2020,43897Leeds,5,793139,166.6666667
02/03/2020,Leeds,2.4,-0.5,84.3,16.7,14.2,15,37,985.7,2.1,1.5,10.2,4.8,09/03/2020,43899Leeds,8,793139,160
04/03/2020,Leeds,2.9,1,73,24.6,10.3,27,57,1005,3.6,5.5,2.5,1.2,11/03/2020,43901Leeds,11,793139,137.5
05/03/2020,Leeds,2.7,0,78.6,17.8,15.4,25,63,999,2.6,1.7,5.3,1.8,12/03/2020,43902Leeds,12,793139,109.0909091
08/03/2020,Leeds,2.6,3.5,83.5,4.9,28.4,7,17,998,3,7.7,14.8,8.2,15/03/2020,43905Leeds,14,793139,116.6666667
09/03/2020,Leeds,3.6,3.5,83.6,9.7,21.9,11,25,1005.3,2.9,5.9,14.9,7.7,16/03/2020,43906Leeds,15,793139,107.1428571
10/03/2020,Leeds,3.5,7,81.3,7.6,23.9,4,22,997,1.8,10,16.4,11,17/03/2020,43907Leeds,18,793139,120
11/03/2020,Leeds,3.7,4,78,8.1,24.5,8,19,1002.5,1.9,7.7,15.6,8.7,18/03/2020,43908Leeds,22,793139,122.2222222
12/03/2020,Leeds,3.8,0,70.4,5.8,27.4,10,23,1000.2,1.8,5.5,18.7,13,19/03/2020,43909Leeds,28,793139,127.2727273
13/03/2020,Leeds,3.1,2.5,76.2,10.7,24.6,12,21,1016.9,1.8,6,8,3.8,20/03/2020,43910Leeds,35,793139,125
14/03/2020,Leeds,3.2,5.5,87,9.4,17,12,34,1008,1.9,8,8.8,4.6,21/03/2020,43911Leeds,41,793139,117.1428571
15/03/2020,Leeds,3,4.5,84,4.8,30.8,8,19,1001,1.9,7.5,17.1,7.9,22/03/2020,43912Leeds,52,793139,126.8292683
16/03/2020,Leeds,2.9,2,70,8.5,25.5,12,24,1018,1.9,6.5,13.8,5.6,23/03/2020,43913Leeds,69,793139,132.6923077
17/03/2020,Leeds,2.7,7,84,5.9,26,8,17,1018,1.9,11,16.4,6.9,24/03/2020,43914Leeds,87,793139,126.0869565
18/03/2020,Leeds,3,3,83,11.8,23.6,8,18,1022,2.1,6,11,5.9,25/03/2020,43915Leeds,98,793139,112.6436782
19/03/2020,Leeds,3.1,-0.5,77.5,11.8,19.8,17,30,1027.5,1.8,4,,1.5,26/03/2020,43916Leeds,119,793139,121.4285714
20/03/2020,Leeds,2.6,0,83,7.7,26.7,19,30,1032.5,1.7,3,,4.6,27/03/2020,43917Leeds,140,793139,117.6470588
21/03/2020,Leeds,2.5,0,72.1,4.2,28.2,15,27,1029,2.1,5,13.2,4.6,28/03/2020,43918Leeds,166,793139,118.5714286
22/03/2020,Leeds,2.9,0,65.2,5.6,23.4,22,51,1028.2,2.3,5.3,7.6,3.4,29/03/2020,43919Leeds,187,793139,112.6506024
23/03/2020,Leeds,3.3,-1,66.9,12.6,16.2,27,57,1025.3,3.7,6,7.6,2.6,30/03/2020,43920Leeds,214,793139,114.4385027
24/03/2020,Leeds,3.8,6.5,63.5,15,13.3,40,76,1020.9,3.7,10.4,7.3,3.3,31/03/2020,43921Leeds,238,793139,111.2149533
25/03/2020,Leeds,3.5,3.5,61.8,15.5,14.9,42,80,1022.3,2.7,8.8,4.5,2,01/04/2020,43922Leeds,269,793139,113.0252101
26/03/2020,Leeds,3.7,,68.1,8.8,27.7,43,92,1024.8,1.9,5.6,4.4,2.6,02/04/2020,43923Leeds,299,793139,111.1524164
27/03/2020,Leeds,3.5,,74.5,4.3,38.7,36,81,1027.4,1,4.4,9.5,4.6,03/04/2020,43924Leeds,336,793139,112.3745819
28/03/2020,Leeds,2.8,,71.4,1.4,33.4,13,17,1033.6,0.9,5.6,15.6,8.2,04/04/2020,43925Leeds,353,793139,105.0595238
29/03/2020,Leeds,2.8,,65.2,1.4,33.2,13,21,1041.6,1,3.7,13.8,6.4,05/04/2020,43926Leeds,389,793139,110.1983003
30/03/2020,Leeds,2.9,,70.6,3,32.5,13,18,1036.2,0.9,5,12.6,6.4,06/04/2020,43927Leeds,438,793139,112.596401
31/03/2020,Leeds,3,,78.8,7.8,29,8,19,1032.8,1.1,6.3,4.5,2,07/04/2020,43928Leeds,502,793139,114.6118721
01/04/2020,Leeds,3.4,,72.8,5.7,28.1,11,25,1021.2,1,7,9.2,4.5,08/04/2020,43929Leeds,546,793139,108.7649402
02/04/2020,Leeds,4.3,,73.2,3.5,31.1,10,18,1011,0.5,7.6,14.8,6.9,09/04/2020,43930Leeds,588,793139,107.6923077
03/04/2020,Leeds,4.9,,69.2,7.1,30,13,23,1013.9,0.6,6.8,8.2,4.1,10/04/2020,43931Leeds,635,793139,107.9931973
04/04/2020,Leeds,4.2,,70.6,5.2,24.2,10,25,1016.1,0.9,8.8,6.4,3.3,11/04/2020,43932Leeds,670,793139,105.511811
05/04/2020,Leeds,3.7,,56.3,5.9,32.2,18,42,1010.7,1.7,13.8,8.8,3.6,12/04/2020,43933Leeds,708,793139,105.6716418
06/04/2020,Leeds,5,,62,4.7,29.7,12,25,1011.9,0.9,12.7,11.6,5.3,13/04/2020,43934Leeds,736,793139,103.9548023
07/04/2020,Leeds,4.4,,65.4,9.6,18.5,20,42,1026.7,1,10.5,5.9,3.5,14/04/2020,43935Leeds,772,793139,104.8913043
08/04/2020,Leeds,4.6,,65.2,5.9,28.7,17,47,1023.7,1,12.2,4.5,2.3,15/04/2020,43936Leeds,825,793139,106.865285
09/04/2020,Leeds,4,,77.8,4.6,26.8,13,30,1026,0.9,9.7,9,5,16/04/2020,43937Leeds,875,793139,106.0606061
10/04/2020,Leeds,4.2,,71.1,8.4,23.7,32,80,1023.8,1.8,12.8,5.4,2.6,17/04/2020,43938Leeds,925,793139,105.7142857
11/04/2020,Leeds,4.9,,64.5,5.5,29.7,19,61,1019.6,1.3,15.6,6,2.8,18/04/2020,43939Leeds,958,793139,103.5675676
12/04/2020,Leeds,4.8,,77.6,2.8,26.1,14,52,1014.5,1.3,9.2,9,5.4,19/04/2020,43940Leeds,991,793139,103.4446764
13/04/2020,Leeds,4.2,,58.7,2,35.1,13,29,1028.4,1,6.1,12.8,6,20/04/2020,43941Leeds,1034,793139,104.3390515
14/04/2020,Leeds,5,,61,6.3,29.6,18,44,1027.1,0.9,8,4,2,21/04/2020,43942Leeds,1106,793139,106.9632495
15/04/2020,Leeds,5,,63.8,6,29.6,17,49,1004.9,0.9,11.9,3.5,2.3,22/04/2020,43943Leeds,1155,793139,104.4303797
16/04/2020,Leeds,4.7,,75,5.2,32.1,21,57,1000.7,0.9,10.5,5.5,1.5,23/04/2020,43944Leeds,1201,793139,103.982684
17/04/2020,Leeds,4.6,,82.5,3.2,32.6,14,30,1003.5,0.9,7.5,7.1,1.6,24/04/2020,43945Leeds,1270,793139,105.7452123
18/04/2020,Leeds,4.5,,84.2,3,32.1,12,24,1002.8,0.9,7.2,4.5,0.6,25/04/2020,43946Leeds,1295,793139,101.9685039
19/04/2020,Leeds,4.4,,69.8,2.5,32.1,12,26,1006.2,1,8.1,4,1.3,26/04/2020,43947Leeds,1316,793139,101.6216216
20/04/2020,Leeds,4.4,,66.2,2.8,35.1,14,25,1022.4,1,8.8,13.2,7.3,27/04/2020,43948Leeds,1359,793139,103.2674772
21/04/2020,Leeds,4.5,,66.2,3.4,36.3,19,35,1022.2,1.1,9.6,14,7.6,28/04/2020,43949Leeds,1399,793139,102.9433407
22/04/2020,Leeds,4.6,,70,3.9,34.1,24,46,1023.5,1.4,10,11.4,6,29/04/2020,43950Leeds,1435,793139,102.5732666
23/04/2020,Leeds,4.7,,66.7,4.7,33.9,19,46,1021.6,1.3,11,9,4.2,30/04/2020,43951Leeds,1456,793139,101.4634146
24/04/2020,Leeds,4.7,,65,4.7,32.9,17,53,1015.8,1.3,10.4,6.3,3.1,01/05/2020,43952Leeds,1486,793139,102.0604396
25/04/2020,Leeds,4.8,,69,5.9,28.1,19,56,1014.1,1.8,10.1,4.3,2,02/05/2020,43953Leeds,1511,793139,101.6823688
26/04/2020,Leeds,5.8,,66.3,3.5,40.2,32,79,1008.6,1.4,12.8,8.7,4.2,03/05/2020,43954Leeds,1521,793139,100.6618134
27/04/2020,Leeds,0.7,,62.4,2.5,29.4,5,9,1006.5,1.3,10,6.6,2.7,04/05/2020,43955Leeds,1541,793139,101.3149244
28/04/2020,Leeds,0.8,,77.1,3.4,29.3,9,21,1005.9,1.3,7.7,6.6,3.3,05/05/2020,43956Leeds,1569,793139,101.8170019
29/04/2020,Leeds,1.3,,90.1,8,21.8,10,27,999.4,1.3,7.5,3.9,2,06/05/2020,43957Leeds,1592,793139,101.4659018
30/04/2020,Leeds,1.4,,82.2,6.6,26.1,7,17,989.3,1.1,8.1,6.3,3.2,07/05/2020,43958Leeds,1629,793139,102.3241206
01/05/2020,Leeds,1.3,,36,5.9,27,7,15,1165.8,1.1,9.6,7.8,4.8,08/05/2020,43959Leeds,1642,793139,100.7980356
02/05/2020,Leeds,1,,15.6,3.7,30.8,7,20,1178.7,1.1,12,6.8,4.2,09/05/2020,43960Leeds,1657,793139,100.9135201
03/05/2020,Leeds,1.1,,40.5,5.7,25.5,14,44,1185.6,1.4,10.9,4.9,1.8,10/05/2020,43961Leeds,1668,793139,100.6638503
04/05/2020,Leeds,3.2,,83.5,6.7,27,17,53,1021,1.3,9.4,7.3,4.2,11/05/2020,43962Leeds,1677,793139,100.5395683
